year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
2004,NGA HOCK CHEH,,DAP,11303,41.60103054839897,068,BERUAS,Perak,0,27170
2004,NASARUDDIN HASHIM,BN,UMNO,12808,61.22370936902486,069,PARIT,Perak,1,20920
2004,MUHAMMAD ISMI MAT TAIB,BA,PAS,8112,38.77629063097514,069,PARIT,Perak,0,20920
2004,TAN SRI HEW SEE YONG,BN,MCA,23129,62.8778816876903,070,KAMPAR,Perak,1,36784
2004,LIEW AH KIM,,DAP,13655,37.1221183123097,070,KAMPAR,Perak,0,36784
2004,TAN SRI DR TING CHEW PEH,BN,MCA,29660,65.82334664891256,071,GOPENG,Perak,1,45060
2004,DR LEE BOON CHYE,BA,PKR,15400,34.17665335108744,071,GOPENG,Perak,0,45060
2004,DATUK S VEERASINGAM,BN,MIC,16945,69.72103357472021,072,TAPAH,Perak,1,24304
2004,DR MOHD RADZI OTHMAN,BA,PAS,7359,30.27896642527979,072,TAPAH,Perak,0,24304
2004,KONG CHO HA,BN,MCA,27415,63.43715290633099,074,LUMUT,Perak,1,43216
2004,MUSTAFA KAMIL AYUB,BA,PKR,15801,36.56284709366901,074,LUMUT,Perak,0,43216
2004,MOHAMAD SHAHRUM OSMAN,BN,UMNO,13870,68.95008948101014,079,LIPIS,Pahang,1,20116
2004,MOHD ZAI MUSTAFA,BA,PAS,6246,31.049910518989858,079,LIPIS,Pahang,0,20116
2004,DATUK DR NG YEN YEN,BN,MCA,20472,65.77983420088684,080,RAUB,Pahang,1,31122
2004,CHOONG SIEW OON,,DAP,10650,34.22016579911317,080,RAUB,Pahang,0,31122
2004,DATUK SERI TENGKU AZLAN SULTAN ABU BAKAR,BN,UMNO,21349,62.349230454718025,081,JERANTUT,Pahang,1,34241
2004,DR HAMZAH JAAFAR,BA,PAS,12892,37.650769545281975,081,JERANTUT,Pahang,0,34241
2004,DATUK FU AH KIOW,BN,MCA,21324,63.65183128861825,083,KUANTAN,Pahang,1,33501
2004,FUZIAH SALLEH,BA,PKR,12177,36.34816871138175,083,KUANTAN,Pahang,0,33501
2004,DATUK SERI MOHD NAJIB TUN ABDUL RAZAK,BN,UMNO,31956,77.9604781654062,085,PEKAN,Pahang,1,40990
2004,BRIG JEN (B) DATUK ZAKARIA DAHLAN,BA,PAS,9034,22.039521834593803,085,PEKAN,Pahang,0,40990
2004,ISMAIL ABDUL MUTTALIB,BN,UMNO,15725,64.95786516853933,086,MARAN,Pahang,1,24208
2004,DATUK TUAN IBRAHIM TUAN MAN,BA,PAS,8483,35.04213483146067,086,MARAN,Pahang,0,24208
2004,DATUK MOHD SARIT YUSOH,BN,UMNO,24633,67.19495894596143,088,TEMERLOH,Pahang,1,36659
2004,IDRIS OMAR,BA,PAS,12026,32.80504105403857,088,TEMERLOH,Pahang,0,36659
2004,LIOW TIONG LAI,BN,MCA,27144,72.48257630377313,089,BENTONG,Pahang,1,37449
2004,ABUB BAKAR LEBAI SUDIN,,DAP,10305,27.517423696226867,089,BENTONG,Pahang,0,37449
2004,ISMAIL SABRI YAAKOB,BN,UMNO,16714,57.71807445265557,090,BERA,Pahang,1,28958
2004,DR ABDUL WAHAB ISMAIL,BA,PAS,12244,42.28192554734443,090,BERA,Pahang,0,28958
2004,DATUK DR JAMALUDDIN MOHD JARJIS,BN,UMNO,19359,65.91868700626533,091,ROMPIN,Pahang,1,29368
2004,SUKRI AHMAD,BA,PAS,10009,34.08131299373468,091,ROMPIN,Pahang,0,29368
2004,DATUK CHAN KONG CHOY,BN,MCA,36343,73.479579458148,097,SELAYANG,Selangor,1,49460
2004,KOH SWE YONG,BA,PKR,13117,26.520420541852,097,SELAYANG,Selangor,0,49460
2004,DR RAMAN ISMAIL,BN,UMNO,39870,59.92514992560083,098,GOMBAK,Selangor,1,66533
2004,DR MOHD HATTA MD RAMLI,BA,PAS,26663,40.07485007439917,098,GOMBAK,Selangor,0,66533
2004,DR ROZAIDAH TALIB,BN,UMNO,33214,71.12814802124379,099,AMPANG,Selangor,1,46696
2004,DR A XAVIER JAYAKUMAR,BA,PKR,13482,28.87185197875621,099,AMPANG,Selangor,0,46696
2004,DATUK ONG TEE KEAT,BN,MCA,26721,67.94050343249428,100,PANDAN,Selangor,1,39330
2004,ISKANDAR ABDUL SAMAD,BA,PAS,12609,32.05949656750572,100,PANDAN,Selangor,0,39330
2004,DATUK YAP PIAN HON,BN,MCA,34495,59.7730029457633,102,SERDANG,Selangor,1,57710
2004,WONG KOK YEW,,DAP,23215,40.2269970542367,102,SERDANG,Selangor,0,57710
2004,LAU YENG PENG,BN,GERAKAN,21291,53.38097028958255,103,PUCHONG,Selangor,1,39885
2004,DR AZMI JAMION @ JEMINGON,BA,PAS,9409,23.590322176256738,103,PUCHONG,Selangor,0,39885
2004,WONG CHOONG YUN,,DAP,9185,23.028707534160713,103,PUCHONG,Selangor,0,39885
2004,CHEW MEI FUN,BN,MCA,32422,62.5895252987394,106,PJ UTARA,Selangor,1,51801
2004,RONNIE LIU TIAN KHIEW,,DAP,19379,37.4104747012606,106,PJ UTARA,Selangor,0,51801
2004,TAN SRI KS NIJHAR,BN,MIC,32941,65.33060965451588,107,SUBANG,Selangor,1,50422
2004,MOHD NASIR HASHIM,BA,PKR,17481,34.66939034548411,107,SUBANG,Selangor,0,50422
2004,P KOMALADEVI,BN,MIC,44007,59.933810911666164,109,KAPAR,Selangor,1,73426
2004,ANG HIOK GAI,BA,PKR,29419,40.066189088333836,109,KAPAR,Selangor,0,73426
2004,DATIN PADUKA DR TAN YEE KEW,BN,MCA,32138,63.02186488871458,110,KLANG,Selangor,1,50995
2004,DR WONG ANG PENG,,DAP,18857,36.97813511128542,110,KLANG,Selangor,0,50995
2004,DATUK MOHD ZIN MOHAMED,BN,UMNO,30755,72.07133316148384,113,SEPANG,Selangor,1,42673
2004,MOHAMED MAKKI AHMAD,BA,PAS,11918,27.928666838516158,113,SEPANG,Selangor,0,42673
2004,DR TAN SENG GIAW,,DAP,23282,52.07336166405726,114,KEPONG,Federal Territories,1,44710
2004,MA WOEI CHYI,BN,GERAKAN,21428,47.92663833594274,114,KEPONG,Federal Territories,0,44710
2004,NG LIP YONG @ NG LIP SAT,BN,GERAKAN,28718,62.54056055227684,115,BATU,Federal Territories,1,45919
2004,CHUA TIAN CHANG,BA,PKR,17201,37.45943944772316,115,BATU,Federal Territories,0,45919
2004,DR TAN KEE KWONG,BN,GERAKAN,28061,71.668284211064,117,SEGAMBUT,Federal Territories,1,39154
2004,KUAN PERK SIONG,,DAP,11093,28.331715788935995,117,SEGAMBUT,Federal Territories,0,39154
2004,DATUK ZULHASNAN RAFIQUE,BN,UMNO,27757,77.4361835681406,118,SETIAWANGSA,Federal Territories,1,35845
2004,MEJAR (B) ABDUL RASHID HASSAN BASRI,BA,PAS,8088,22.563816431859394,118,SETIAWANGSA,Federal Territories,0,35845
2004,DATUK ASTAMAN ABDUL AZIZ,BN,UMNO,22910,67.37244522864285,119,TITIWANGSA,Federal Territories,1,34005
2004,MOHAMAD NOOR MOHAMAD,BA,PAS,11095,32.627554771357154,119,TITIWANGSA,Federal Territories,0,34005
2004,TERESA KOK SUH SIM,,DAP,33197,62.051627133217444,122,SEPUTEH,Federal Territories,1,53499
2004,CHIN YEN FOO,BN,MCA,20302,37.948372866782556,122,SEPUTEH,Federal Territories,0,53499
2004,TAN KOK WAI,,DAP,29056,62.82242546107111,123,CHERAS,Federal Territories,1,46251
2004,LEE BOON KOK,BN,MCA,17195,37.17757453892889,123,CHERAS,Federal Territories,0,46251
2004,DATUK TENGKU ADNAN TENGKU MANSOR,BN,UMNO,4086,88.32684824902724,125,PUTRAJAYA,Federal Territories,1,4626
2004,ABDUL RAHMAN OTHMAN,BA,PKR,540,11.673151750972762,125,PUTRAJAYA,Federal Territories,0,4626
2004,DATUK SERI DR RAIS YATIM,BN,UMNO,20650,77.8657616892911,126,JELEBU,Negeri Sembilan,1,26520
2004,DR ROSLI YAAKOP,BA,PAS,5870,22.1342383107089,126,JELEBU,Negeri Sembilan,0,26520
2004,TAN SRI MOHAMED ISA ABDUL SAMAD,BN,UMNO,26360,73.96184062850729,127,JEMPOL,Negeri Sembilan,1,35640
2004,MOHAMAD FOZI MOHD ZIN,BA,PAS,9280,26.038159371492704,127,JEMPOL,Negeri Sembilan,0,35640
