,name,number_of_voters,panel_code,panel_name,tab,state_region
88,Tun Hairudin Abu Bakar (BN - UMNO),"45.2% (7,146)",N31,BAGAN PINANG (P132),state,NegriSembilan
89,Mohd Ibrahim Amanula Khan (PH - PKR),"32.9% (5,211)",N31,BAGAN PINANG (P132),state,NegriSembilan
90,Abdul Rahman Mohd Redza (BN - UMNO),"39.0% (6,072)",N32,LINGGI (P132),state,NegriSembilan
91,Rusli Abdullah (PH - PKR),"35.0% (5,449)",N32,LINGGI (P132),state,NegriSembilan
92,Noor Mohamad Rizal Ishak (PAS),6.4% (992),N32,LINGGI (P132),state,NegriSembilan
93,Ravi Munusamy (PH - PKR),"51.1% (7,366)",N33,SRI TANJUNG (P132),state,NegriSembilan
94,Thinalan Rajagopalu (BN - MIC),"23.1% (3,336)",N33,SRI TANJUNG (P132),state,NegriSembilan
95,Kamarol Ridzuan Mohd Zain (PAS),"7.4% (1,061)",N33,SRI TANJUNG (P132),state,NegriSembilan
96,Abdul Razak Ab Said (BN - UMNO),"44.1% (9,853)",N34,GEMAS (P133),state,NegriSembilan
97,Baharuddin Arif Siri (PH - PKR),"22.8% (5,081)",N34,GEMAS (P133),state,NegriSembilan
98,Abd Halim Abu Bakar (PAS),"11.7% (2,612)",N34,GEMAS (P133),state,NegriSembilan
99,Mohd Isam Mohd Isa (BN - UMNO),"37.2% (6,963)",N35,GEMENCHEH (P133),state,NegriSembilan
100,Saiful Adly Abdul Wahab (PH - PPBM),"35.3% (6,612)",N35,GEMENCHEH (P133),state,NegriSembilan
101,Ishak Maasin (PAS),"6.0% (1,122)",N35,GEMENCHEH (P133),state,NegriSembilan
102,Veerapan Superamaniam (PH - DAP),"48.5% (9,568)",N36,REPAH (P133),state,NegriSembilan
103,Koh Kim Swee (BN - MCA),"24.4% (4,810)",N36,REPAH (P133),state,NegriSembilan
104,Abdul Razakek Abdul Rahim (PAS),"9.9% (1,957)",N36,REPAH (P133),state,NegriSembilan
