,name,number_of_voters,panel_code,panel_name,tab,state_region
22,Koh Nai Kwong (BN - MCA),"33.1% (4,214)",N8,MACHAP JAYA (P135),state,Melaka
23,Wan Zahidi Wan Ismail (PAS),6.1% (775),N8,MACHAP JAYA (P135),state,Melaka
24,Mohd Sofi Abdul Wahab (PH - AMANAH),"39.9% (5,213)",N9,DURIAN TUNGGAL (P135),state,Melaka
25,Ab Wahab Ab Latip (BN - UMNO),"34.0% (4,450)",N9,DURIAN TUNGGAL (P135),state,Melaka
26,Mohsin Ibrahim (PAS),"10.6% (1,391)",N9,DURIAN TUNGGAL (P135),state,Melaka
27,Abdul Ghafar Atan (BN - UMNO),"37.1% (5,942)",N10,ASAHAN (P135),state,Melaka
28,Zamzuri Arifin (PH - PPBM),"35.4% (5,667)",N10,ASAHAN (P135),state,Melaka
29,Azlan Maddin (PAS),"8.5% (1,365)",N10,ASAHAN (P135),state,Melaka
30,Idris Haron (BN - UMNO),"45.1% (10,073)",N11,SUNGAI UDANG (P136),state,Melaka
31,Mohd Lokman Abdul Ghani (PH - PKR),"35.1% (7,844)",N11,SUNGAI UDANG (P136),state,Melaka
32,Nor Azman Hassan (BN - UMNO),"36.8% (5,773)",N12,PANTAI KUNDOR (P136),state,Melaka
33,Juhari Osman (PH - AMANAH),"31.9% (5,001)",N12,PANTAI KUNDOR (P136),state,Melaka
34,Abdul Halim Maidin (PAS),"12.3% (1,936)",N12,PANTAI KUNDOR (P136),state,Melaka
35,Mohd Rafiq Naizamohideen (PH - PPBM),"48.3% (12,102)",N13,PAYA RUMPUT (P136),state,Melaka
36,Abu Bakar Mohamad Diah (BN - UMNO),"31.3% (7,843)",N13,PAYA RUMPUT (P136),state,Melaka
37,Rafie Ahmad (PAS),"6.2% (1,552)",N13,PAYA RUMPUT (P136),state,Melaka
38,Gue Teck (PH - PKR),"37.9% (7,648)",N14,KELEBANG (P136),state,Melaka
39,Lim Ban Hong (BN - MCA),"34.0% (6,859)",N14,KELEBANG (P136),state,Melaka
40,Mohd Syafiq Ismail (PAS),"11.3% (2,272)",N14,KELEBANG (P136),state,Melaka
41,Norhizam Hassan Baktee (PH - DAP),"43.6% (9,227)",N15,PENGKALAN BATU (P137),state,Melaka
42,Chua Lian Chye (BN - GERAKAN),"30.5% (6,471)",N15,PENGKALAN BATU (P137),state,Melaka
43,Ramli Dalip (PAS),"10.5% (2,230)",N15,PENGKALAN BATU (P137),state,Melaka
44,Kerk Chee Yee (PH - DAP),"56.2% (14,279)",N16,AYER KEROH (P137),state,Melaka
45,Chua Kheng Hwa (BN - MCA),"19.8% (5,018)",N16,AYER KEROH (P137),state,Melaka
46,Sepri Rahman (PAS),"10.1% (2,567)",N16,AYER KEROH (P137),state,Melaka
47,Adly Zahari (PH - AMANAH),"44.8% (11,226)",N17,BUKIT KATIL (P137),state,Melaka
48,Yunus Hitam (BN - UMNO),"32.2% (8,067)",N17,BUKIT KATIL (P137),state,Melaka
49,Muhamat Puhat Bedol (PAS),"8.9% (2,237)",N17,BUKIT KATIL (P137),state,Melaka
50,Rahmad Mariman (BN - UMNO),"39.3% (6,951)",N18,AYER MOLEK (P137),state,Melaka
51,Farhan Ibrahim @ Alias (PH - PKR),"29.1% (5,146)",N18,AYER MOLEK (P137),state,Melaka
52,Jantan Abdullah (PAS),"17.4% (3,082)",N18,AYER MOLEK (P137),state,Melaka
53,Kamarolzaman Mohd Jidi (IND),0.4% (79),N18,AYER MOLEK (P137),state,Melaka
54,Seah Shoo Chin (PH - DAP),"61.3% (22,880)",N19,KESIDANG (P138),state,Melaka
55,Ng Choon Koon (BN - MCA),"22.1% (8,268)",N19,KESIDANG (P138),state,Melaka
56,Goh Leong San (IND),0.9% (349),N19,KESIDANG (P138),state,Melaka
57,Low Chee Leong (PH - DAP),"67.4% (20,181)",N20,KOTA LAKSAMANA (P138),state,Melaka
58,Melvin Chua Kew Wei (BN - MCA),"13.4% (4,008)",N20,KOTA LAKSAMANA (P138),state,Melaka
59,Sim Tong Him (IND),1.7% (517),N20,KOTA LAKSAMANA (P138),state,Melaka
