,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Zahidi Zainul Abidin (BN - UMNO),"32.6% (15,032)",P1,PADANG BESAR,parliament,Perlis
1,Izizam Ibrahim (PH - PPBM),"29.5% (13,594)",P1,PADANG BESAR,parliament,Perlis
2,Mokhtar Senik (PAS),"17.1% (7,874)",P1,PADANG BESAR,parliament,Perlis
3,Noor Amin Ahmad (PH - PKR),"37.4% (20,909)",P2,KANGAR,parliament,Perlis
4,Ramli Shariff (BN - UMNO),"27.4% (15,306)",P2,KANGAR,parliament,Perlis
5,Mohamad Zahid Ibrahim (PAS),"15.1% (8,465)",P2,KANGAR,parliament,Perlis
6,Shahidan Kassim (BN - UMNO),"34.3% (16,547)",P3,ARAU,parliament,Perlis
7,Abd Rahman Daud (PH - PPBM),"24.3% (11,691)",P3,ARAU,parliament,Perlis
8,Hashim Jasin (PAS),"23.6% (11,362)",P3,ARAU,parliament,Perlis
