,name,number_of_voters,panel_code,panel_name,tab,state_region
145,Mohd Khairi Hussin (BN - UMNO),"24.0% (9,949)",N44,SELAT KLANG (P109),state,Selangor
146,Jeichandran Wadivelu (PRM),0.1% (52),N44,SELAT KLANG (P109),state,Selangor
147,Zainal Azwar Kamaruddin (IND),0.1% (49),N44,SELAT KLANG (P109),state,Selangor
148,Teng Chang Khim (PH - DAP),"77.4% (44,926)",N45,BANDAR BARU KLANG (P110),state,Selangor
149,Teoh Kah Yeong (BN - MCA),"8.8% (5,098)",N45,BANDAR BARU KLANG (P110),state,Selangor
150,Azmizam Zaman Huri (PH - PKR),"46.8% (15,837)",N46,PELABUHAN KLANG (P110),state,Selangor
151,Seikh Rajesh Seikh Ahmad (BN - UMNO),"27.8% (9,415)",N46,PELABUHAN KLANG (P110),state,Selangor
152,Khalid Nayan (PAS),"8.7% (2,925)",N46,PELABUHAN KLANG (P110),state,Selangor
153,Shanmugasundram Veerappan (PSM),0.4% (128),N46,PELABUHAN KLANG (P110),state,Selangor
154,Leong Tuck Chee (PH - DAP),"72.2% (41,552)",N47,PANDAMARAN (P110),state,Selangor
155,Tee Hooi Ling (BN - MCA),"9.9% (5,689)",N47,PANDAMARAN (P110),state,Selangor
156,Santokh Singh Gurdev Singh (IKATAN),"2.5% (1,459)",N47,PANDAMARAN (P110),state,Selangor
157,Gunarajah R George (PH - PKR),"74.1% (38,106)",N48,SENTOSA (P111),state,Selangor
158,Subramaniam T Retnam (BN - MIC),"8.8% (4,506)",N48,SENTOSA (P111),state,Selangor
159,Rajan Manikesavan (PAS),"3.3% (1,722)",N48,SENTOSA (P111),state,Selangor
160,Sundarajoo Periasamy (IND),0.2% (95),N48,SENTOSA (P111),state,Selangor
161,Telaiamblam Mariappan (PRM),0.2% (79),N48,SENTOSA (P111),state,Selangor
162,Mat Shuhaimi Shafiei (PH - PKR),"47.2% (23,998)",N49,SUNGAI KANDIS (P111),state,Selangor
163,Kamaruzzaman Johari (BN - UMNO),"22.7% (11,518)",N49,SUNGAI KANDIS (P111),state,Selangor
164,Mohd Yusof Abdullah (PAS),"14.9% (7,573)",N49,SUNGAI KANDIS (P111),state,Selangor
165,Hanafiah Husin (PRM),0.1% (76),N49,SUNGAI KANDIS (P111),state,Selangor
166,Ganabatirau Veraman (PH - DAP),"61.2% (28,617)",N50,KOTA KEMUNING (P111),state,Selangor
167,Burhan Adnan (PAS),"14.9% (6,978)",N50,KOTA KEMUNING (P111),state,Selangor
168,Tiew Hock Huat (BN - GERAKAN),"9.8% (4,601)",N50,KOTA KEMUNING (P111),state,Selangor
169,Abdul Razak Ismail (PSM),0.5% (226),N50,KOTA KEMUNING (P111),state,Selangor
170,Rajasekaran Soundarapandy (IND),0.2% (93),N50,KOTA KEMUNING (P111),state,Selangor
171,Ahmad Yunus Hairi (PAS),"32.2% (12,688)",N51,SIJANGKANG (P112),state,Selangor
172,Mohd Hamidi Abu Bakar (PH - PPBM),"27.9% (11,011)",N51,SIJANGKANG (P112),state,Selangor
173,Sulaiman Mohd Karli (BN - UMNO),"26.4% (10,420)",N51,SIJANGKANG (P112),state,Selangor
174,Lau Weng San (PH - DAP),"70.5% (21,846)",N52,BANTING (P112),state,Selangor
175,Ng Siok Hwa (BN - MCA),"14.7% (4,547)",N52,BANTING (P112),state,Selangor
176,Tan Choon Swee (PRM),1.0% (311),N52,BANTING (P112),state,Selangor
177,Hasnul Baharuddin (PH - AMANAH),"34.4% (11,000)",N53,MORIB (P112),state,Selangor
178,Rozana Kamarulzaman (BN - UMNO),"27.8% (8,883)",N53,MORIB (P112),state,Selangor
179,Mohammad Sallehuddin Hafiz (PAS),"22.9% (7,329)",N53,MORIB (P112),state,Selangor
180,Borhan Aman Shah (PH - PKR),"40.5% (9,828)",N54,TANJONG SEPAT (P113),state,Selangor
181,Karim Mansor (BN - UMNO),"29.4% (7,124)",N54,TANJONG SEPAT (P113),state,Selangor
182,Mohd Haslin Hassan (PAS),"17.6% (4,273)",N54,TANJONG SEPAT (P113),state,Selangor
183,Adhif Syan Abdullah (PH - PPBM),"42.0% (21,172)",N55,DENGKIL (P113),state,Selangor
184,Shahrum Mohd Sharif (BN - UMNO),"28.2% (14,238)",N55,DENGKIL (P113),state,Selangor
185,Yusmi Haniff Ariffin (PAS),"16.7% (8,422)",N55,DENGKIL (P113),state,Selangor
186,Liu Tian Khiew (PH - PKR),"45.3% (13,484)",N56,SUNGAI PELEK (P113),state,Selangor
187,Ng Chok Sin (BN - MCA),"23.2% (6,898)",N56,SUNGAI PELEK (P113),state,Selangor
188,Rohaya Mohd Shahir (PAS),"17.5% (5,200)",N56,SUNGAI PELEK (P113),state,Selangor
189,Harry Arul Raj Krishnan (PAP),0.3% (79),N56,SUNGAI PELEK (P113),state,Selangor
