,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Chiong Yoke Kong (PH - DAP),"45.2% (8,821)",N1,TANAH RATA (P78),state,Pahang
1,Leong Tak Man (BN - MCA),"26.8% (5,232)",N1,TANAH RATA (P78),state,Pahang
2,Kumar Silambaram (PAS),3.1% (600),N1,TANAH RATA (P78),state,Pahang
3,Wan Rosdy Wan Ismail (BN - UMNO),"46.7% (5,858)",N2,JELAI (P78),state,Pahang
4,Abdul Karim Nor (PAS),"18.7% (2,351)",N2,JELAI (P78),state,Pahang
5,Abdul Rasid Mohamed Ali (PH - PPBM),"10.3% (1,298)",N2,JELAI (P78),state,Pahang
6,Mat Nor Ayat (PSM),1.8% (229),N2,JELAI (P78),state,Pahang
7,Mustapa Long (BN - UMNO),"40.5% (5,691)",N3,PADANG TENGKU (P79),state,Pahang
8,Roslan Harun (PAS),"31.6% (4,447)",N3,PADANG TENGKU (P79),state,Pahang
9,Alias Abd Rahman (PH - PPBM),"9.3% (1,303)",N3,PADANG TENGKU (P79),state,Pahang
10,Lee Ah Wong (BN - MCA),"27.6% (3,475)",N4,CHEKA (P79),state,Pahang
11,Saludin Endol (PAS),"26.0% (3,273)",N4,CHEKA (P79),state,Pahang
12,Rasid Muhamad (PH - PKR),"23.3% (2,930)",N4,CHEKA (P79),state,Pahang
13,Mohd Soffi Abd Razak (BN - UMNO),"37.7% (3,261)",N5,BENTA (P79),state,Pahang
14,Sabaruddin Mohd Yassim (PH - PKR),"33.8% (2,921)",N5,BENTA (P79),state,Pahang
15,Anuar Kassim (PAS),8.5% (739),N5,BENTA (P79),state,Pahang
16,Abd Aziz Mat Kiram (BN - UMNO),"45.6% (6,922)",N6,BATU TALAM (P80),state,Pahang
17,Tengku Abdul Rahman Tengku Ja'afar (PAS),"17.1% (2,602)",N6,BATU TALAM (P80),state,Pahang
18,Dasimah Zainudin (PH - PKR),"16.1% (2,441)",N6,BATU TALAM (P80),state,Pahang
19,Chow Yu Hui (PH - DAP),"54.2% (15,660)",N7,TRAS (P80),state,Pahang
20,Ng Leap Pong (BN - MCA),"19.7% (5,707)",N7,TRAS (P80),state,Pahang
21,Chin Choy Hee (PAS),"5.2% (1,506)",N7,TRAS (P80),state,Pahang
22,Shahiruddin Ab Moin (BN - UMNO),"46.2% (6,294)",N8,DONG (P80),state,Pahang
23,Bedu Rahim Ismail (PAS),"18.1% (2,462)",N8,DONG (P80),state,Pahang
24,Hamzah Jaaffar (PH - AMANAH),"17.2% (2,342)",N8,DONG (P80),state,Pahang
25,Mohd Zakhwan Ahmad Badarddin (PAS),"37.1% (5,638)",N9,TAHAN (P81),state,Pahang
26,Wan Amizan Wan Abdul Razak (BN - UMNO),"36.6% (5,569)",N9,TAHAN (P81),state,Pahang
27,Nordin Samat (PH - PPBM),6.2% (945),N9,TAHAN (P81),state,Pahang
28,Zuridan Mohd Daud (PAS),"33.6% (8,444)",N10,DAMAK (P81),state,Pahang
29,Wong Chun Yuan (PH - PKR),"27.8% (6,988)",N10,DAMAK (P81),state,Pahang
30,Lim Chong Ly (BN - MCA),"17.5% (4,395)",N10,DAMAK (P81),state,Pahang
31,Nazri Ngah (BN - UMNO),"36.3% (8,446)",N11,PULAU TAWAR (P81),state,Pahang
32,Ahmad Naawi Samah (PAS),"33.8% (7,859)",N11,PULAU TAWAR (P81),state,Pahang
33,Jamaluddin Abd Rahim (PH - AMANAH),"8.5% (1,973)",N11,PULAU TAWAR (P81),state,Pahang
34,Andansura Rabu (PAS),"31.6% (12,239)",N12,BESERAH (P82),state,Pahang
35,Zulkifli Mohamed (PH - AMANAH),"28.2% (10,934)",N12,BESERAH (P82),state,Pahang
36,Suhaimi Jusoh @ Sulong (BN - UMNO),"22.6% (8,732)",N12,BESERAH (P82),state,Pahang
37,Lee Chean Chung (PH - PKR),"39.0% (14,991)",N13,SEMAMBU (P82),state,Pahang
38,Mohd Yusof Hashin (PAS),"24.6% (9,480)",N13,SEMAMBU (P82),state,Pahang
39,Quek Tai Seong (BN - MCA),"19.0% (7,323)",N13,SEMAMBU (P82),state,Pahang
40,Sim Chon Siang (PH - PKR),"49.4% (12,227)",N14,TERUNTUM (P83),state,Pahang
41,Tee Choon Ser (BN - MCA),"18.2% (4,502)",N14,TERUNTUM (P83),state,Pahang
42,Azizah Mohd Ali (PAS),"12.3% (3,039)",N14,TERUNTUM (P83),state,Pahang
43,Rosli Abdul Jabar (PAS),"32.6% (8,198)",N15,TANJUNG LUMPUR (P83),state,Pahang
