,name,number_of_voters,panel_code,panel_name,tab,state_region
61,Mohammed Zamri Ibrahim (PAS),"15.1% (10,135)",P74,LUMUT,parliament,Perak
62,Ahmad Zahid Hamidi (BN - UMNO),"40.0% (18,909)",P75,BAGAN DATUK,parliament,Perak
63,Pakhrurrazi Arshad (PH - PKR),"29.2% (13,836)",P75,BAGAN DATUK,parliament,Perak
64,Ata Abdul Muneim Hasan Adli (PAS),"8.6% (4,061)",P75,BAGAN DATUK,parliament,Perak
65,Nga Kor Ming (PH - DAP),"43.9% (29,170)",P76,TELUK INTAN,parliament,Perak
66,Mah Siew Keong (BN - GERAKAN),"27.1% (17,991)",P76,TELUK INTAN,parliament,Perak
67,Ahmad Ramadzan Ahmad Daud (PAS),"9.8% (6,494)",P76,TELUK INTAN,parliament,Perak
68,Chang Lih Kang (PH - PKR),"36.0% (24,672)",P77,TANJONG MALIM,parliament,Perak
69,Mah Hang Soon (BN - MCA),"28.2% (19,314)",P77,TANJONG MALIM,parliament,Perak
70,Mohd Tarmizi Ab Rahman (PAS),"15.1% (10,311)",P77,TANJONG MALIM,parliament,Perak
