,name,number_of_voters,panel_code,panel_name,tab,state_region
106,Azman Nasrudin (PH - PKR),"47.5% (23,904)",N34,LUNAS (P17),state,Kedah
107,Ahmad Taufiq Baharum (PAS),"20.0% (10,091)",N34,LUNAS (P17),state,Kedah
108,Thuraisingam Muthu (BN - MIC),"14.9% (7,489)",N34,LUNAS (P17),state,Kedah
109,Yeo Keng Chuan (PH - PKR),"33.9% (13,070)",N35,KULIM (P18),state,Kedah
110,Chua Thiong Gee (BN - MCA),"24.0% (9,275)",N35,KULIM (P18),state,Kedah
111,Mohd Khairi Mohd Salleh (PAS),"23.5% (9,080)",N35,KULIM (P18),state,Kedah
112,Lee Ah Leong (PRM),0.1% (34),N35,KULIM (P18),state,Kedah
113,Norsabrina Mohd Noor (BN - UMNO),"28.1% (7,884)",N36,BANDAR BAHARU (P18),state,Kedah
114,Azimi Daim (PH - PPBM),"26.8% (7,507)",N36,BANDAR BAHARU (P18),state,Kedah
115,Rohaizat Jaafar (PAS),"26.8% (7,506)",N36,BANDAR BAHARU (P18),state,Kedah
