,name,number_of_voters,panel_code,panel_name,tab,state_region
62,Gooi Hsiao-Leung (PH - PKR),"56.3% (12,535)",N17,BUKIT TENGAH (P46),state,Penang
63,Thor Teong Gee (BN - GERAKAN),"17.9% (3,977)",N17,BUKIT TENGAH (P46),state,Penang
64,Norazman Ishak (PAS),"10.6% (2,355)",N17,BUKIT TENGAH (P46),state,Penang
65,Tan Hiang Lye (PRM),0.2% (53),N17,BUKIT TENGAH (P46),state,Penang
66,Edward Joseph (PFP),0.1% (27),N17,BUKIT TENGAH (P46),state,Penang
67,Goh Choon Aik (PH - PKR),"69.2% (18,064)",N18,BUKIT TAMBUN (P46),state,Penang
68,Hartini Tan Abdullah (BN - GERAKAN),"12.2% (3,184)",N18,BUKIT TAMBUN (P46),state,Penang
69,Kumaravelu Arumugam (PAS),2.8% (735),N18,BUKIT TAMBUN (P46),state,Penang
70,Goh Bee Koon (PRM),0.4% (117),N18,BUKIT TAMBUN (P46),state,Penang
71,Ong Seong Lu (PFP),0.2% (54),N18,BUKIT TAMBUN (P46),state,Penang
72,H'ng Mooi Lye (PH - DAP),"65.8% (17,559)",N19,JAWI (P47),state,Penang
73,Kiew Hen Chong (BN - GERAKAN),"15.7% (4,188)",N19,JAWI (P47),state,Penang
74,Tan Beng Huat (PAP),1.2% (309),N19,JAWI (P47),state,Penang
75,Koay Xing Boon (MUP),0.6% (165),N19,JAWI (P47),state,Penang
76,Daphne Edward (PFP),0.3% (73),N19,JAWI (P47),state,Penang
77,Tan Chew Suan (PRM),0.2% (51),N19,JAWI (P47),state,Penang
78,Amar Pritpal Abdullah (PH - PKR),"38.9% (10,386)",N20,SUNGAI BAKAP (P47),state,Penang
79,Mohamed Sani Bakar (BN - UMNO),"30.1% (8,038)",N20,SUNGAI BAKAP (P47),state,Penang
80,Osman Jaafar (PAS),"16.2% (4,316)",N20,SUNGAI BAKAP (P47),state,Penang
81,Tan Joon Long @ Tan Chow Kang (PRM),0.2% (55),N20,SUNGAI BAKAP (P47),state,Penang
82,Zulkifli Ibrahim (PH - PKR),"37.4% (7,486)",N21,SUNGAI ACHEH (P47),state,Penang
83,Mahmud Zakaria (BN - UMNO),"35.3% (7,070)",N21,SUNGAI ACHEH (P47),state,Penang
84,Nor Zamri Latiff (PAS),"11.9% (2,383)",N21,SUNGAI ACHEH (P47),state,Penang
85,Zairil Khir Johari (PH - DAP),"60.8% (13,245)",N22,TANJONG BUNGA (P48),state,Penang
86,Teng Chang Yeow (BN - GERAKAN),"17.9% (3,902)",N22,TANJONG BUNGA (P48),state,Penang
87,Chua Cheong Wee (PRM),0.6% (122),N22,TANJONG BUNGA (P48),state,Penang
88,Lee Zheng Yong (MUP),0.3% (74),N22,TANJONG BUNGA (P48),state,Penang
89,Lim Guan Eng (PH - DAP),"69.3% (9,362)",N23,AIR PUTIH (P48),state,Penang
90,Tang Heap Seng (BN - MCA),"10.4% (1,404)",N23,AIR PUTIH (P48),state,Penang
91,Tan Gim Theam (MUP),0.6% (87),N23,AIR PUTIH (P48),state,Penang
92,Manikandan Ramayah (PCM),0.6% (83),N23,AIR PUTIH (P48),state,Penang
93,Ong Khan Lee (PH - PKR),"69.5% (14,851)",N24,KEBUN BUNGA (P48),state,Penang
94,Ooi Zhi Yi (BN - GERAKAN),"10.5% (2,254)",N24,KEBUN BUNGA (P48),state,Penang
95,Wu Kai Min (MUP),0.5% (110),N24,KEBUN BUNGA (P48),state,Penang
96,Lee Chun Kit (PH - DAP),"63.4% (11,679)",N25,PULAU TIKUS (P48),state,Penang
97,Loo Jieh Sheng (BN - GERAKAN),"13.2% (2,434)",N25,PULAU TIKUS (P48),state,Penang
98,Wee Kean Wai (MUP),0.4% (75),N25,PULAU TIKUS (P48),state,Penang
99,Chow Kon Yeow (PH - DAP),"64.1% (9,278)",N26,PADANG KOTA (P49),state,Penang
100,H'ng Khoon Leng (BN - GERAKAN),"10.2% (1,470)",N26,PADANG KOTA (P49),state,Penang
101,Goh Saik Wei (MUP),0.5% (71),N26,PADANG KOTA (P49),state,Penang
102,Gooi Zi Sen (PH - DAP),"74.9% (15,037)",N27,PENGKALAN KOTA (P49),state,Penang
103,Lim Swee Bok (BN - MCA),"8.2% (1,647)",N27,PENGKALAN KOTA (P49),state,Penang
104,Ragindran Sivasamy (IND),0.4% (87),N27,PENGKALAN KOTA (P49),state,Penang
105,Koay Teng Lye (MUP),0.4% (82),N27,PENGKALAN KOTA (P49),state,Penang
106,Chew Seng Tung (PRM),0.3% (68),N27,PENGKALAN KOTA (P49),state,Penang
107,Teh Lai Heng (PH - DAP),"67.2% (10,113)",N28,KOMTAR (P49),state,Penang
108,Tan Hing Teik (BN - MCA),"11.6% (1,750)",N28,KOMTAR (P49),state,Penang
109,Ong Chun Jiet (MUP),0.6% (85),N28,KOMTAR (P49),state,Penang
110,Jagdeep Singh Deo Karpal Singh (PH - DAP),"60.6% (13,712)",N29,DATOK KERAMAT (P50),state,Penang
111,Lee Boon Ten (BN - GERAKAN),"18.3% (4,151)",N29,DATOK KERAMAT (P50),state,Penang
112,Lim Boo Chang (MUP),0.9% (194),N29,DATOK KERAMAT (P50),state,Penang
113,Muhammad Majnun Abdul Wahab (IND),0.6% (146),N29,DATOK KERAMAT (P50),state,Penang
114,Nicholas Diane Morgan (PFP),0.1% (18),N29,DATOK KERAMAT (P50),state,Penang
115,Lim Siew Khim (PH - DAP),"57.1% (15,362)",N30,SUNGAI PINANG (P50),state,Penang
116,Ng Fook On (BN - GERAKAN),"18.5% (4,974)",N30,SUNGAI PINANG (P50),state,Penang
117,Yacoob Omar (PAS),"5.9% (1,575)",N30,SUNGAI PINANG (P50),state,Penang
118,Teh Yee Cheu (PSM),0.8% (223),N30,SUNGAI PINANG (P50),state,Penang
119,Mohamed Yacoob Mohamed Noor (IND),0.4% (119),N30,SUNGAI PINANG (P50),state,Penang
120,Tan Sim Bee (MUP),0.3% (79),N30,SUNGAI PINANG (P50),state,Penang
121,Ong Ah Teong (PH - DAP),"75.1% (20,615)",N31,BATU LANCANG (P50),state,Penang
122,Koo Pei Chee (BN - GERAKAN),"8.8% (2,407)",N31,BATU LANCANG (P50),state,Penang
123,Kee Lean Ee (MUP),0.5% (139),N31,BATU LANCANG (P50),state,Penang
124,Syerleena Abdul Rashid (PH - DAP),"65.6% (16,553)",N32,SERI DELIMA (P51),state,Penang
125,Khoo Kay Teong (BN - MCA),"13.2% (3,342)",N32,SERI DELIMA (P51),state,Penang
126,Tan Yang Yung (MUP),0.6% (159),N32,SERI DELIMA (P51),state,Penang
127,Joseph Ng Soon Siang (PH - DAP),"64.2% (12,588)",N33,AIR ITAM (P51),state,Penang
128,Tan Kah Leong (BN - GERAKAN),"15.5% (3,047)",N33,AIR ITAM (P51),state,Penang
129,Kang Teik Woi (MUP),0.8% (148),N33,AIR ITAM (P51),state,Penang
130,Yeoh Soon Hin (PH - DAP),"75.6% (35,315)",N34,PAYA TERUBONG (P51),state,Penang
131,Wong Chin Chong (BN - MCA),"8.8% (4,126)",N34,PAYA TERUBONG (P51),state,Penang
132,Kuan Aun Wan (MUP),0.9% (421),N34,PAYA TERUBONG (P51),state,Penang
133,Kumaresan Aramugam (PH - PKR),"66.0% (21,079)",N35,BATU UBAN (P52),state,Penang
134,Hng Chee Wey (BN - GERAKAN),"11.9% (3,806)",N35,BATU UBAN (P52),state,Penang
135,Vikneswaran Muniandy (PAS),"3.7% (1,176)",N35,BATU UBAN (P52),state,Penang
136,Teoh Kok Siang (MUP),0.4% (116),N35,BATU UBAN (P52),state,Penang
137,Teoh Kean Liang (PFP),0.1% (32),N35,BATU UBAN (P52),state,Penang
138,Saifuddin Nasution Ismail (PH - PKR),"59.3% (14,014)",N36,PANTAI JEREJAK (P52),state,Penang
139,Oh Tong Keong (BN - GERAKAN),"13.9% (3,298)",N36,PANTAI JEREJAK (P52),state,Penang
140,Mohd Farhan Yusri (PAS),"7.1% (1,670)",N36,PANTAI JEREJAK (P52),state,Penang
141,Yim Boon Leong (MUP),0.4% (97),N36,PANTAI JEREJAK (P52),state,Penang
142,Abdul Halim Hussain (PH - PKR),"49.4% (17,380)",N37,BATU MAUNG (P52),state,Penang
143,Liakat Ali Mohamed Ali (BN - UMNO),"25.7% (9,063)",N37,BATU MAUNG (P52),state,Penang
144,Saiful Lizan Md Yusoff (PAS),"9.0% (3,153)",N37,BATU MAUNG (P52),state,Penang
145,Azrul Mahathir Aziz (PH - AMANAH),"47.1% (12,504)",N38,BAYAN LEPAS (P53),state,Penang
146,Rusli Hashim (BN - UMNO),"27.3% (7,259)",N38,BAYAN LEPAS (P53),state,Penang
147,Zarina Shinta Madar (PAS),"9.4% (2,497)",N38,BAYAN LEPAS (P53),state,Penang
148,Mohd Tuah Ismail (PH - PKR),"42.2% (7,675)",N39,PULAU BETONG (P53),state,Penang
149,Muhamad Farid Saad (BN - UMNO),"33.4% (6,079)",N39,PULAU BETONG (P53),state,Penang
150,Mohd Taufik Hashim (PAS),"9.0% (1,645)",N39,PULAU BETONG (P53),state,Penang
151,Yeoh Cheng Huat (PRM),0.4% (64),N39,PULAU BETONG (P53),state,Penang
152,Zolkifly Md Lazim (PH - PPBM),"38.2% (5,482)",N40,TELOK BAHANG (P53),state,Penang
153,Shah Haedan Ayoob Hussain Shah (BN - UMNO),"35.3% (5,057)",N40,TELOK BAHANG (P53),state,Penang
154,Mohd Ali Othman (PAS),"10.2% (1,469)",N40,TELOK BAHANG (P53),state,Penang
