,name,number_of_voters,panel_code,panel_name,tab,state_region
82,Chang Kok Aun (BN - MCA),"14.0% (2,922)",N29,KEPAYANG (P65),state,Perak
83,Sivasubramaniam Athinarayanan (PH - DAP),"64.5% (18,005)",N30,BUNTONG (P65),state,Perak
84,Thangarani Thiagarajan (BN - MIC),"9.6% (2,682)",N30,BUNTONG (P65),state,Perak
85,Mohanarani Rasiah (PSM),2.9% (813),N30,BUNTONG (P65),state,Perak
86,Cheah Pou Hian (PH - DAP),"68.5% (16,940)",N31,JELAPANG (P66),state,Perak
87,Thankaraj Krishnan (BN - MIC),"7.1% (1,753)",N31,JELAPANG (P66),state,Perak
88,Sarasvathy Muthu (PSM),3.8% (944),N31,JELAPANG (P66),state,Perak
89,Chaw Kam Foon (PH - DAP),"68.8% (20,456)",N32,MENGLEMBU (P66),state,Perak
90,Wong Kam Seng (BN - MCA),"8.4% (2,508)",N32,MENGLEMBU (P66),state,Perak
91,Chin Kwai Leong (PSM),0.8% (248),N32,MENGLEMBU (P66),state,Perak
92,Yong Choo Kiong (PH - DAP),"55.9% (15,061)",N33,TRONOH (P66),state,Perak
93,Yuen Chan How (BN - MCA),"16.9% (4,560)",N33,TRONOH (P66),state,Perak
94,Chin Kwai Heng (PSM),1.2% (333),N33,TRONOH (P66),state,Perak
95,Maslin Sham Razman (BN - UMNO),"34.2% (5,929)",N34,BUKIT CHANDAN (P67),state,Perak
96,Mohamad Imran Abd Hamid (PH - PKR),"31.6% (5,465)",N34,BUKIT CHANDAN (P67),state,Perak
97,Intan Norhani Mohamad Basir (PAS),"15.8% (2,743)",N34,BUKIT CHANDAN (P67),state,Perak
98,Mohamad Zuraimi Razali (BN - UMNO),"31.9% (6,267)",N35,MANONG (P67),state,Perak
99,Mohamad Isa Jaafar (PH - PPBM),"29.0% (5,696)",N35,MANONG (P67),state,Perak
100,Jamil Dzulkarnain (PAS),"20.4% (4,004)",N35,MANONG (P67),state,Perak
101,Abd Manaf Hashim (BN - UMNO),"34.9% (6,312)",N36,PENGKALAN BAHARU (P68),state,Perak
102,Murad Abdullah (PH - PPBM),"25.9% (4,688)",N36,PENGKALAN BAHARU (P68),state,Perak
103,Zakaria Hashim (PAS),"15.4% (2,781)",N36,PENGKALAN BAHARU (P68),state,Perak
104,Wong May Ing (PH - DAP),"57.5% (18,608)",N37,PANTAI REMIS (P68),state,Perak
105,Ho Kean Wei (BN - MCA),"16.4% (5,292)",N37,PANTAI REMIS (P68),state,Perak
106,Teoh Yee Chern (PH - DAP),"64.1% (18,814)",N38,ASTAKA (P68),state,Perak
107,Teng Keek Soong (BN - MCA),"12.4% (3,638)",N38,ASTAKA (P68),state,Perak
108,Khairudin Abu Hanipah (BN - UMNO),"39.3% (5,879)",N39,BELANJA (P69),state,Perak
109,Mohd Zahid Abu Bakar (PAS),"21.1% (3,150)",N39,BELANJA (P69),state,Perak
110,Yahanis Yahya (PH - PPBM),"19.2% (2,871)",N39,BELANJA (P69),state,Perak
111,Khairul Shahril Mohamed (BN - UMNO),"35.4% (7,411)",N40,BOTA (P69),state,Perak
112,Muhammad Ismi Mat Taib (PAS),"26.7% (5,589)",N40,BOTA (P69),state,Perak
113,Azrul Hakkim Azhar (PH - PPBM),"19.4% (4,070)",N40,BOTA (P69),state,Perak
114,Leong Cheok Keng (PH - DAP),"49.2% (11,271)",N41,MALIM NAWAR (P70),state,Perak
115,Chang Gwo Chyang (BN - MCA),"22.6% (5,189)",N41,MALIM NAWAR (P70),state,Perak
116,Bawani Kaniapan (PSM),0.9% (213),N41,MALIM NAWAR (P70),state,Perak
117,Chong Zhemin (PH - DAP),"55.9% (12,072)",N42,KERANJI (P70),state,Perak
118,Daniel Wa Wai How (BN - MCA),"18.7% (4,031)",N42,KERANJI (P70),state,Perak
119,Nolee Ashilin Mohammed Radzi (BN - UMNO),"35.2% (8,767)",N43,TUALANG SEKAH (P70),state,Perak
120,Mohd Azlan Helmi Helmi (PH - PKR),"30.8% (7,668)",N43,TUALANG SEKAH (P70),state,Perak
121,Mohd Sofian Rejab (PAS),"12.7% (3,162)",N43,TUALANG SEKAH (P70),state,Perak
122,Mohammad Nizar Jamaluddin (PH - AMANAH),"39.0% (12,425)",N44,SUNGAI RAPAT (P71),state,Perak
123,Hamzah Mohd Kasim (BN - UMNO),"27.6% (8,811)",N44,SUNGAI RAPAT (P71),state,Perak
124,Radzi Zainon (PAS),"14.5% (4,627)",N44,SUNGAI RAPAT (P71),state,Perak
125,Tan Kar Hing (PH - PKR),"59.6% (25,659)",N45,SIMPANG PULAI (P71),state,Perak
126,Liew Yee Lin (BN - MCA),"11.5% (4,970)",N45,SIMPANG PULAI (P71),state,Perak
127,Mohamad Arif Abdul Latiff (PAS),"9.4% (4,061)",N45,SIMPANG PULAI (P71),state,Perak
128,Ng Shy Ching (PH - PKR),"43.5% (10,546)",N46,TEJA (P71),state,Perak
