,coalition,party,logo,name,gender,codeId,state,parName
71,bn,umno,bn,Rohaida Mohamad Yaakun,P,05503,Perak,Lenggong
72,ph,pkr,ph,Mohamad Jamean Zulkepli,L,05503,Perak,Lenggong
73,pn,pas,pn,Mohd Jamil Yahya,L,05504,Perak,Lenggong
74,bn,umno,bn,Saarani Mohamad,L,05504,Perak,Lenggong
75,ph,amanah,ph,Mohd Sabri Abdul Manaf,L,05504,Perak,Lenggong
76,ph,amanah,ph,Razali Ismail,L,05605,Perak,Larut
77,pn,pas,pn,Mohd Akmal  Kamarudin,L,05605,Perak,Larut
78,,ind,ind,Osman Sidek,L,05605,Perak,Larut
79,bn,umno,bn,Faizul Rizal Zulkifli,L,05605,Perak,Larut
80,pn,pas,pn,Khalil Yahaya,L,05606,Perak,Larut
81,bn,umno,bn,Osman Ahmad,L,05606,Perak,Larut
82,gta,pejuang,pejuang,Fuaddin Kamaruddin,L,05606,Perak,Larut
83,ph,amanah,ph,Mohd Nazri Din,L,05606,Perak,Larut
84,bn,umno,bn,Saliza Ahmad,P,05607,Perak,Larut
85,gta,berjasa,pejuang,Zulkifli Yahya,L,05607,Perak,Larut
86,pn,bersatu,pn,Mohd Najmuddin Elias Al-hafiz,L,05607,Perak,Larut
87,ph,pkr,ph,Muhamad Aiman Aizuddin Md Husin,L,05607,Perak,Larut
88,pn,pas,pn,Hakimi Hamzi Hayat,L,05708,Perak,Parit Buntar
89,bn,umno,bn,Shahrul Nizam Razali,L,05708,Perak,Parit Buntar
90,ph,amanah,ph,Muhammad Nakhaie Wahab,L,05708,Perak,Parit Buntar
91,ph,pkr,ph,Anuar Ahmad,L,05709,Perak,Parit Buntar
92,pn,bersatu,pn,Abdul Yunus Jamahri,L,05709,Perak,Parit Buntar
93,bn,umno,bn,Mohd Hamil Jahaya,L,05709,Perak,Parit Buntar
94,ph,pkr,ph,Khairul Azman Ahmad,L,05810,Perak,Bagan Serai
95,pn,bersatu,pn,Sallehuddin Abdullah,L,05810,Perak,Bagan Serai
96,bn,umno,bn,Sham Mat Sahat,L,05810,Perak,Bagan Serai
97,pn,pas,pn,Razman Zakaria,L,05811,Perak,Bagan Serai
98,bn,umno,bn,Nazirul Jamaluddin,L,05811,Perak,Bagan Serai
99,ph,amanah,ph,Sheikh Khuzaifah,L,05811,Perak,Bagan Serai
100,bn,umno,bn,Mohamad Noor Dawoo,L,05812,Perak,Bagan Serai
101,pn,bersatu,pn,Noor Azman Ghazali,L,05812,Perak,Bagan Serai
102,ph,amanah,ph,Ahmad Saqif Ansarallah,L,05812,Perak,Bagan Serai
103,ph,pkr,ph,Zainal Azman Abu Seman,L,05913,Perak,Bukit Gantang
104,gta,putra,pejuang,Zainal Abidin Abd Rahman,P,05913,Perak,Bukit Gantang
105,pn,bersatu,pn,Ahmad Man,L,05913,Perak,Bukit Gantang
106,bn,umno,bn,Mohd Kamaruddin Abu Bakar,L,05913,Perak,Bukit Gantang
107,bn,umno,bn,Ahmad Saidi Mohamad Daud,L,05914,Perak,Bukit Gantang
108,gta,pejuang,pejuang,Nazar Talib,L,05914,Perak,Bukit Gantang
109,ph,amanah,ph,Megat Shariffudin Ibrahim,L,05914,Perak,Bukit Gantang
110,pn,pas,pn,Rahim Ismail,L,05914,Perak,Bukit Gantang
111,pn,pas,pn,Faisal Abdul Rahman,L,05915,Perak,Bukit Gantang
112,bn,umno,bn,Jamilah Zakaria,P,05915,Perak,Bukit Gantang
113,ph,pkr,ph,Junaida Jamaludin,P,05915,Perak,Bukit Gantang
114,gta,pejuang,pejuang,Mustafaa Kamal,L,05915,Perak,Bukit Gantang
115,pn,pas,pn,Mohd Fakhruddin Abdul Aziz,L,06016,Perak,Taiping
116,ph,amanah,ph,Muhd Fadhil Nurudin,L,06016,Perak,Taiping
117,bn,umno,bn,Ahmad Sahalimin Ahmad Shaffie,L,06016,Perak,Taiping
118,,ind,ind,Mohd Yusoff Abdull Hamid,L,06017,Perak,Taiping
119,ph,dap,ph,Ong Seng Guan,L,06017,Perak,Taiping
120,pn,bersatu,pn,Shariful Juhari Abu Kassim,L,06017,Perak,Taiping
121,,ind,ind,Leow Thye Yih,L,06017,Perak,Taiping
122,bn,mca,bn,Ang Sui Eng,P,06017,Perak,Taiping
123,,ind,ind,Lee Seng Yap,L,06018,Perak,Taiping
124,,ind,ind,Abu Bakar Abdul Rahman,L,06018,Perak,Taiping
125,ph,dap,ph,Teh Kok Lim,L,06018,Perak,Taiping
126,pn,gerakan,pn,Koay Boon Hui,L,06018,Perak,Taiping
127,bn,mic,bn,G Shanmugiavalloo,L,06018,Perak,Taiping
128,ph,pkr,ph,Mohd Khairol Iwan Mat Khairi,L,06119,Perak,Padang Rengas
129,bn,umno,bn,Khairuddin Mohamed Azahari,L,06119,Perak,Padang Rengas
130,gta,pejuang,pejuang,Ahmad Rodzi Abdul Rahim,L,06119,Perak,Padang Rengas
131,pn,bersatu,pn,Syed Lukman Hakim Syed Mohd Zin,L,06119,Perak,Padang Rengas
132,pn,pas,pn,Azizi Mohamed Ridzuan,L,06120,Perak,Padang Rengas
133,ph,amanah,ph,Zaiton Latiff,P,06120,Perak,Padang Rengas
134,bn,umno,bn,Mohamad Azir Ismail,L,06120,Perak,Padang Rengas
135,pn,bersatu,pn,Ahmad Daslie Osman,L,06221,Perak,Sungai Siput
136,ph,pkr,ph,Za'im Sidqi Zulkifly,L,06221,Perak,Sungai Siput
137,bn,umno,bn,Mohd Zolkafly Harun,L,06221,Perak,Sungai Siput
138,pn,gerakan,pn,Naran Singh Asa Singh,L,06222,Perak,Sungai Siput
139,bn,mca,bn,Pan Chean Chang,L,06222,Perak,Sungai Siput
140,ph,dap,ph,Loh Se Yee,L,06222,Perak,Sungai Siput
141,,ind,ind,Indrani,P,06222,Perak,Sungai Siput
142,ph,amanah,ph,Asmuni Awi,L,06323,Perak,Tambun
143,bn,umno,bn,Azizul Kama Abd Aziz,L,06323,Perak,Tambun
144,pn,pas,pn,Hafez Sabri,L,06323,Perak,Tambun
145,,ind,ind,Murugiah Subramaniam,L,06324,Perak,Tambun
146,pn,bersatu,pn,Puteri Holijah Muhamad Rali,P,06324,Perak,Tambun
147,ph,pkr,ph,Muhamad Arafat Varisai Mahamad,L,06324,Perak,Tambun
148,bn,umno,bn,Mazlan Abd Rahman,L,06324,Perak,Tambun
149,pn,gerakan,pn,Pang Boon Yang,L,06425,Perak,Ipoh Timor
150,ph,dap,ph,Jenny Choy Tsi Jen,P,06425,Perak,Ipoh Timor
151,bn,mca,bn,Woo Kok Toong,L,06425,Perak,Ipoh Timor
152,pn,bersatu,pn,Mohammad Iskandar Abdul Rahman,L,06426,Perak,Ipoh Timor
153,bn,mca,bn,Khoo Boon Chuan,L,06426,Perak,Ipoh Timor
154,ph,dap,ph,Dr Abdul Aziz Bari,L,06426,Perak,Ipoh Timor
155,gta,pejuang,pejuang,Mior Haidir,L,06426,Perak,Ipoh Timor
156,ph,dap,ph,Goh See Hua,L,06427,Perak,Ipoh Timor
157,pn,gerakan,pn,Lam Kin Yip,L,06427,Perak,Ipoh Timor
158,bn,mca,bn,Soo Poh Yeow,L,06427,Perak,Ipoh Timor
159,bn,mca,bn,Ho Wai Mun,L,06528,Perak,Ipoh Barat
160,ph,dap,ph,Ong Boon Piow,L,06528,Perak,Ipoh Barat
161,pn,gerakan,pn,Lim Jin Sheng,L,06528,Perak,Ipoh Barat
162,pn,bersatu,pn,Richard Ng,L,06529,Perak,Ipoh Barat
163,bn,mca,bn,Lim Huey Shan,L,06529,Perak,Ipoh Barat
164,ph,dap,ph,Nga Kor Ming,L,06529,Perak,Ipoh Barat
165,pn,bersatu,pn,Sivasubramaniam Athinarayanan,L,06530,Perak,Ipoh Barat
166,bn,mic,bn,S Jayagopi,L,06530,Perak,Ipoh Barat
167,ph,dap,ph,Thulsi Manogaran,P,06530,Perak,Ipoh Barat
168,,ind,ind,Sebastiar,L,06530,Perak,Ipoh Barat
169,,ind,ind,Muhammad Faiz Abdullah,L,06530,Perak,Ipoh Barat
170,bn,umno,bn,Hamidah Muhamad,P,06631,Perak,Batu Gajah
171,pn,pas,pn,Navinten Sundarajan,L,06631,Perak,Batu Gajah
172,ph,dap,ph,Cheah Pou Han,L,06631,Perak,Batu Gajah
