,parCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,voters,incumbentName,zhName,incumbentCoalition,incumbentParty,forLiveSite
189,P176,17600,Sabah,umno,bn,156,Kimanis,金马利,40763,Mohamad Alamin,莫哈末阿拉敏,bn,umno,BN
190,P168,16800,Sabah,pbs,bn,1774,Kota Marudu,马鲁都,80735,Maximus Ongkili,西慕翁基利,grs,pbs,GRS
191,P199,19900,Sarawak,supp,bn,9905,Serian,西连,65273,Richard Riot Jaem,理查烈,gps,supp,GPS
192,P197,19700,Sarawak,pbb,bn,16992,Kota Samarahan,哥打三马拉汉,82229,Rubiah Wang,鲁比亚,gps,pbb,GPS
193,P202,20200,Sarawak,prs,bn,5820,Sri Aman,斯里阿曼,50164,Masir Kujat,马希尔,,independent,INDEPENDENT
194,P209,20900,Sarawak,bebas,,1931,Julau,如娄,34850,Larry Sng Wei Shien,孙伟瑄,,pbm,PBM
195,P201,20100,Sarawak,pbb,bn,10277,Batang Lupar,巴当鲁巴,43072,Rohani Abdul Karim,罗哈妮,gps,pbb,GPS
196,P203,20300,Sarawak,bebas,,1059,Lubok Antu,鲁勃安都,28995,Jugah Muyang,朱加慕央,,independent,INDEPENDENT
197,P211,21100,Sarawak,dap,ph,14546,Lanang,南兰,87356,Alice Lau Kiong Yieng,刘强燕,ph,dap,HARAPAN
198,P221,22100,Sarawak,pbb,bn,7710,Limbang,林梦,41999,Hasbi Habibollah,哈斯比,gps,pbb,GPS
199,P194,19400,Sarawak,pbb,bn,15017,Petra Jaya,柏特拉再也,109809,Fadillah Yusof,法迪拉,gps,pbb,GPS
200,P217,21700,Sarawak,spdp,bn,7022,Bintulu,民都鲁,113599,Tiong King Sing,张庆信,gps,pdp,GPS
201,P193,19300,Sarawak,pbb,bn,19485,Santubong,山都望,79540,Wan Junaidi Tuanku Jaafar,旺朱乃迪,gps,pbb,GPS
202,P205,20500,Sarawak,pkr,ph,989,Saratok,砂拉卓,44531,Ali Biju,阿里比祖,pn,bersatu,PN
203,P198,19800,Sarawak,pkr,ph,4005,Puncak Borneo,婆罗洲高原,79969,Willie Mongin,威利,gps,pbb,GPS
204,P206,20600,Sarawak,pbb,bn,8674,Tanjung Manis,丹绒玛尼,32948,Yusof Abdul Wahab,尤索夫阿都瓦哈,gps,pbb,GPS
205,P216,21600,Sarawak,prs,bn,6315,Hulu Rajang,乌鲁拉让,43438,Ugak Kumbong,乌格,gps,prs,GPS
206,P204,20400,Sarawak,pbb,bn,8116,Betong,木中,41743,Robert Lawson Chuat,罗柏,gps,pbb,GPS
207,P213,21300,Sarawak,pbb,bn,7000,Mukah,木胶,46964,Hanifah Hajar Taib,哈妮法,gps,pbb,GPS
208,P214,21400,Sarawak,pkr,ph,486,Selangau,实兰沟,45743,Baru Bian,巴鲁比安,,psb,PSB
209,P220,22000,Sarawak,spdp,bn,1990,Baram,巴南,59535,Anyi Ngau,安义尧,gps,pdp,GPS
210,P218,21800,Sarawak,pbb,bn,3676,Sibuti,实务地,58522,Lukanisman Awang Sauni,鲁卡尼斯曼,gps,pbb,GPS
211,P222,22200,Sarawak,pbb,bn,6000,Lawas,老越,33655,Henry Sum Agong,亨利,gps,pbb,GPS
212,P210,21000,Sarawak,prs,bn,4312,Kanowit,加拿逸,30988,Aaron Ago Dagang,艾伦,gps,prs,GPS
213,P208,20800,Sarawak,dap,ph,2570,Sarikei,泗里街,55018,Wong Ling Biu,黄灵彪,ph,dap,HARAPAN
214,P200,20000,Sarawak,pbb,bn,12328,Batang Sadong,峇丹砂隆,32640,Nancy Shukri,南茜,gps,pbb,GPS
215,P212,21200,Sarawak,dap,ph,11422,Sibu,诗巫,105875,Oscar Ling Chai Yew,林财耀,ph,dap,HARAPAN
216,P215,21500,Sarawak,pbb,bn,10479,Kapit,加帛,45210,Alexander Nanta Linggi,亚历山大南塔,gps,pbb,GPS
217,P219,21900,Sarawak,pkr,ph,13663,Miri,美里,143229,Michael Teo Yu Keng,张有庆,ph,pkr,HARAPAN
218,P207,20700,Sarawak,pbb,bn,8495,Igan,依干,28290,Ahmad Johnie Zawawi,阿末佐尼,gps,pbb,GPS
219,P195,19500,Sarawak,dap,ph,35973,Bandar Kuching,古晋,109710,Kelvin Yii Lee Wuen,俞利文,ph,dap,HARAPAN
220,P192,19200,Sarawak,dap,ph,3024,Mas Gading,玛士加丁,47171,Mordi Bimol,莫迪,ph,dap,HARAPAN
221,P196,19600,Sarawak,dap,ph,14221,Stampin,实旦宾,121009,Chong Chieng Jen,张健仁,ph,dap,HARAPAN
