,parCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,voters,incumbentName,zhName,incumbentCoalition,incumbentParty,forLiveSite
38,P131,13100,Negeri Sembilan,umno,bn,4364,Rembau,林茂,133555,Khairy Jamaludin Abu Bakar,凯里,bn,umno,BN
39,P155,15500,Johor,umno,bn,5933,Tenggara,东南镇,67294,Adham Baba,阿汉峇峇,bn,umno,BN
40,P125,12500,Putrajaya,umno,bn,3372,Putrajaya,布城,42881,Tengku Adnan Tengku Mansor,东姑安南,bn,umno,BN
41,P114,11400,KL,dap,ph,51628,Kepong,甲洞,94285,Lim Lip Eng,林立迎,ph,dap,HARAPAN
42,P151,15100,Johor,bersatu,ph,3475,Simpang Renggam,新邦令金,59033,Maszlee Malik,马智礼,ph,pkr,HARAPAN
43,P142,14200,Johor,dap,ph,3408,Labis,拉美士,49846,Pang Hok Liong,彭学良,ph,dap,HARAPAN
44,P081,08100,Pahang,umno,bn,5908,Jerantut,而连突,87051,Ahmad Nazlan Idris,阿马纳兹兰,bn,umno,BN
45,P110,11000,Selangor,dap,ph,78773,Klang,巴生,208913,Charles Santiago,查尔斯圣地亚哥,ph,dap,HARAPAN
46,P134,13400,Melaka,umno,bn,8159,Masjid Tanah,马日丹那,69174,Mas Ermieyati Samsudin,玛丝米雅蒂,pn,bersatu,PN
47,P112,11200,Selangor,pkr,ph,17112,Kuala Langat,瓜拉冷岳,148637,Xavier Jayakumar Arulanandam,再也古玛,,pbm,PBM
48,P086,08600,Pahang,umno,bn,3763,Maran,马兰,53128,Ismail Abd Muttalib,依斯迈慕达利,bn,umno,BN
49,P095,09500,Selangor,umno,bn,1970,Tanjung Karang,丹绒加弄,62194,Noh Omar,诺奥马,bn,umno,BN
50,P027,02700,Kelantan,umno,bn,2929,Tanah Merah,丹那美拉,98782,Ikmal Hisham Abdul Aziz,依克玛,pn,bersatu,PN
51,P120,12000,KL,dap,ph,37260,Bukit Bintang,武吉免登,79782,Fong Kui Lun,方贵伦,ph,dap,HARAPAN
52,P080,08000,Pahang,dap,ph,3159,Raub,劳勿,75064,Tengku Zulpuri Shah Raja Puji,东姑祖布里,ph,dap,HARAPAN
53,P004,00400,Kedah,bersatu,ph,8893,Langkawi,浮罗交怡,66777,Mahathir Mohamad,马哈迪,gta,pejuang,GTA
54,P019,01900,Kelantan,pas,gagasan,17500,Tumpat,道北,149371,Che Abdullah Mat Nawi,仄阿都拉,pn,pas,PN
55,P030,03000,Kelantan,umno,bn,6647,Jeli,日里,59798,Mustapa Mohamed,慕斯达法,pn,bersatu,PN
56,P109,10900,Selangor,pkr,ph,16306,Kapar,加埔,189369,Abdullah Sani Abdul Hamid,阿都拉沙尼,ph,pkr,HARAPAN
57,P161,16100,Johor,amanah,ph,28924,Pulai,蒲来,165313,Salahuddin Ayub,沙拉胡丁阿育,ph,amanah,HARAPAN
58,P064,06400,Perak,dap,ph,42797,Ipoh Timor,怡保东区,118178,Wong Kah Woh,黄家和,ph,dap,HARAPAN
59,P130,13000,Negeri Sembilan,dap,ph,46867,Rasah,亚沙,155896,Cha Kee Chin,谢琪清,ph,dap,HARAPAN
60,P061,06100,Perak,umno,bn,2548,Padang Rengas,硝山,38686,Mohamed Nazri Abdul Aziz,纳兹里,bn,umno,BN
61,P068,06800,Perak,dap,ph,27954,Beruas,木威,108249,Ngeh Koo Ham,倪可汉,ph,dap,HARAPAN
62,P032,03200,Kelantan,umno,bn,3913,Gua Musang,话望生,70254,Tengku Razaleigh Hamzah,东姑拉沙里,bn,umno,BN
