,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,coal_or_party
16,2022,MANSOR OTHMAN,PN,BERSATU,0,0,047,NIBONG TEBAL,Penang,0,0,F,0,PN
17,2022,THANENTHIRAN RAMANKUTTY,BN,MMSP,0,0,047,NIBONG TEBAL,Penang,0,0,M,0,BN
18,2022,GOH KHENG HUAT,,IND,0,0,047,NIBONG TEBAL,Penang,0,0,F,0,BEBAS
19,2022,WAN MARZUDI WAN OMAR,GTA,PEJUANG,0,0,028,PASIR PUTEH,Kelantan,0,0,F,0,PEJUANG
20,2022,ZAWAWI OTHMAN,BN,UMNO,0,0,028,PASIR PUTEH,Kelantan,0,0,F,0,BN
21,2022,MUHAMMAD HUSAIN,PH,AMANAH,0,0,028,PASIR PUTEH,Kelantan,0,0,F,0,PH
22,2022,NIK MUHAMMAD ZAWAWI SALLEH,PN,PAS,0,0,028,PASIR PUTEH,Kelantan,0,0,F,0,PAS
23,2022,JIMMY PUAH WEE TSE,PH,PKR,0,0,158,TEBRAU,Johor,0,0,F,0,PH
24,2022,MOHAMAD ISA MOHAMAD BASIR,PN,BERSATU,0,0,158,TEBRAU,Johor,0,0,F,0,PN
25,2022,WONG SIAW TING,BN,MCA,0,0,158,TEBRAU,Johor,0,0,M,0,BN
26,2022,TAWFIK ISMAIL,,IND,0,0,075,BAGAN DATUK,Perak,0,0,F,0,BEBAS
27,2022,MUHAMMAD FAIZ NA’AMAN,PN,BERSATU,0,0,075,BAGAN DATUK,Perak,0,0,F,0,PN
28,2022,SHAMSUL ISKANDAR,PH,PKR,0,0,075,BAGAN DATUK,Perak,0,0,F,0,PH
29,2022,AHMAD ZAHID HAMIDI,BN,UMNO,0,0,075,BAGAN DATUK,Perak,0,0,F,0,BN
30,2022,AIREROSHAIRI ROSLAN,PN,PAS,0,0,084,PAYA BESAR,Pahang,0,0,F,0,PAS
31,2022,ROSMINAHAR MOHD AMIN,GTA,PEJUANG,0,0,084,PAYA BESAR,Pahang,0,0,F,0,PEJUANG
32,2022,AHMAD AZAM MOHAMAD SALLEH,PH,AMANAH,0,0,084,PAYA BESAR,Pahang,0,0,F,0,PH
33,2022,MOHD SHAHAR ABDULLAH,BN,UMNO,0,0,084,PAYA BESAR,Pahang,0,0,F,0,BN
34,2022,GHAZALI ABU,GTA,PUTRA,0,0,136,TANGGA BATU,Melaka,0,0,F,0,PUTRA
35,2022,SHAHRIL MAHMOOD,,IND,0,0,136,TANGGA BATU,Melaka,0,0,F,0,BEBAS
36,2022,BAKRI JAMALUDDIN,PN,PAS,0,0,136,TANGGA BATU,Melaka,0,0,F,0,PAS
