,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,fuzzy,spr_id,id_x,t,kid,a,ju,mj
72,2022,MUHAR HUSSAIN,BN,UMNO,13872,0,018,KULIM-BANDAR BAHARU,Kedah,0,0,F,0,0,861.0,861.0,DATUK MUHAR BIN HUSSAIN,01800,BN,13872.0,13061.0
73,2022,MUHAMMAD NORAFFENDY MOHD SALLEH,PN,BERSATU,16722,0,127,JEMPOL,Negeri Sembilan,0,0,F,0,0,946.0,946.0,AFFENDY SALLEH,12700,PN,16722.0,5857.0
74,2022,MOHD KHALID MUHD YUNUS,GTA,PUTRA,654,0,127,JEMPOL,Negeri Sembilan,0,0,F,0,1,684.0,684.0,TAN SRI KHALID YUNUS,12700,PEJUANG,654.0,5857.0
75,2022,SHAMSULKAHAR MOHD DELI,BN,UMNO,30138,0,127,JEMPOL,Negeri Sembilan,0,0,F,0,0,406.0,406.0,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,12700,BN,30138.0,5857.0
76,2022,NORWANI AHMAT,PH,AMANAH,24281,0,127,JEMPOL,Negeri Sembilan,0,0,M,0,0,820.0,820.0,NORWANI AHMAT,12700,PH,24281.0,5857.0
77,2022,LOW GUO NAN,BN,MCA,7248,0,065,IPOH BARAT,Perak,0,0,F,0,0,1149.0,1149.0,AH NAN,06500,BN,7248.0,56667.0
78,2022,M KULASEGARAN,PH,DAP,63915,0,065,IPOH BARAT,Perak,0,0,F,0,0,1118.0,1118.0,M. KULA,06500,PH,63915.0,56667.0
79,2022,CHEK KWONG WENG,PN,GERAKAN,6815,0,065,IPOH BARAT,Perak,0,0,F,0,0,345.0,345.0,CHEK KWONG WENG,06500,PN,6815.0,56667.0
80,2022,M KAYVEAS,,IND,378,0,065,IPOH BARAT,Perak,0,0,F,0,1,1035.0,1035.0,TAN SRI M KAYVEAS,06500,BEBAS,378.0,56667.0
81,2022,TAN KOK WAI,PH,DAP,60294,0,123,CHERAS,KL,0,0,F,0,0,698.0,698.0,TAN KOK WAI,12300,PH,60294.0,54448.0
82,2022,CHONG YEW CHUAN,BN,MCA,5606,0,123,CHERAS,KL,0,0,F,0,0,428.0,428.0,CHONG YEW CHUAN,12300,BN,5606.0,54448.0
83,2022,CHIN YOKE KHENG,PN,BERSATU,5846,0,123,CHERAS,KL,0,0,M,0,0,73.0,73.0,RUBY CHIN,12300,PN,5846.0,54448.0
84,2022,AWANG HASHIM,PN,PAS,49008,0,011,PENDANG,Kedah,0,0,F,0,0,353.0,353.0,DATUK HAJI AWANG SOLAHUDIN,01100,PN,49008.0,31289.0
85,2022,ZULKIFLI MOHAMAD,PH,PKR,8058,0,011,PENDANG,Kedah,0,0,F,0,0,550.0,550.0,DATO ZUL,01100,PH,8058.0,31289.0
86,2022,ABDUL RASHID YOP,GTA,DIRECT,809,0,011,PENDANG,Kedah,0,0,F,0,1,622.0,622.0,RASHID YOB,01100,PEJUANG,809.0,31289.0
87,2022,SURAYA YAACOB,BN,UMNO,17719,0,011,PENDANG,Kedah,0,0,M,0,0,285.0,285.0,SURAYA BINTI YAACOB,01100,BN,17719.0,31289.0
88,2022,IDRIS MD YUSOF,GTA,DIRECT,460,0,092,SABAK BERNAM,Selangor,0,0,F,0,1,144.0,144.0,DATO` SRI EIZLAN YUSOF,09200,PEJUANG,460.0,5056.0
89,2022,ABD RAHMAN BAKRI,BN,UMNO,12917,0,092,SABAK BERNAM,Selangor,0,0,F,0,0,503.0,503.0,ABD RAHMAN BIN BAKRI,09200,BN,12917.0,5056.0
90,2022,MOHD FASIAH MOHD FAKEH,PN,BERSATU,17973,0,092,SABAK BERNAM,Selangor,0,0,F,0,0,409.0,409.0,CIKGU KALAM BIN SALAN,09200,PN,17973.0,5056.0
91,2022,SHAMSUL MA'ARIF ISMAIL,PH,AMANAH,9627,0,092,SABAK BERNAM,Selangor,0,0,F,0,0,265.0,265.0,HJ. SHAMSUL  MA`ARIF ISMAIL,09200,PH,9627.0,5056.0
92,2022,MOHD AKMAL AZHAR,,WARISAN,179,0,042,TASEK GELUGOR,Penang,0,0,F,0,0,951.0,951.0,AKMAL AZHAR,04200,WARISAN,179.0,12252.0
93,2022,NIK ABDUL RAZAK NIK MD RIDZUAN,PH,AMANAH,16547,0,042,TASEK GELUGOR,Penang,0,0,F,0,0,67.0,67.0,RAZAK RIDZUAN,04200,PH,16547.0,12252.0
94,2022,ABDUL HALIM SHER JUNG,GTA,DIRECT,406,0,042,TASEK GELUGOR,Penang,0,0,F,0,1,563.0,563.0,DR. ABDUL HALIM,04200,PEJUANG,406.0,12252.0
95,2022,MUHAMAD YUSOFF MOHD NOOR,BN,UMNO,18864,0,042,TASEK GELUGOR,Penang,0,0,F,0,0,375.0,375.0,MUHAMAD YUSOFF BIN MOHD NOOR (YB CHOP),04200,BN,18864.0,12252.0
96,2022,WAN SAIFUL WAN JAN,PN,BERSATU,31116,0,042,TASEK GELUGOR,Penang,0,0,F,0,0,753.0,753.0,DATUK WAN SAIFUL WAN JAN,04200,PN,31116.0,12252.0
97,2022,ZAMBRY ABD KADIR,BN,UMNO,24849,0,074,LUMUT,Perak,0,0,F,0,0,162.0,162.0,DR ZAMBRY ABD KADIR,07400,BN,24849.0,363.0
98,2022,HATTA RAMLI,PH,AMANAH,20358,0,074,LUMUT,Perak,0,0,F,0,0,356.0,356.0,DR HATTA RAMLI,07400,PH,20358.0,363.0
99,2022,NORDIN AHMAD ISMAIL,PN,BERSATU,25212,0,074,LUMUT,Perak,0,0,F,0,0,913.0,913.0,KOMANDER (B) NORDIN,07400,PN,25212.0,363.0
100,2022,MOHD ISNIN ISMAIL @ IBRAHIM KHAN,,WARISAN,358,0,074,LUMUT,Perak,0,0,F,0,0,1017.0,1017.0,KOMANDER ISNIN,07400,WARISAN,358.0,363.0
101,2022,MAZLAN ABDUL GHANI,GTA,PEJUANG,385,0,074,LUMUT,Perak,0,0,F,0,0,1251.0,1251.0,MAZLAN ABD GHANI,07400,PEJUANG,385.0,363.0
102,2022,ALIAS RAZAK,PN,PAS,56697,0,035,KUALA NERUS,Terengganu,0,0,F,0,0,33.0,33.0,DATO' DR. HAJI ALIAS RAZAK,03500,PAS,56697.0,29765.0
103,2022,KHAIRUDDIN AMAN RAZALI,BN,DIRECT,26932,0,035,KUALA NERUS,Terengganu,0,0,F,0,0,189.0,189.0,UST. DATO' DR. KHAIRUDDIN TAKIRI,03500,BN,26932.0,29765.0
104,2022,AZAHA WAHID,GTA,PUTRA,291,0,035,KUALA NERUS,Terengganu,0,0,F,0,1,321.0,321.0,AZAHA,03500,PEJUANG,291.0,29765.0
105,2022,SUHAIMI HASHIM,PH,AMANAH,3708,0,035,KUALA NERUS,Terengganu,0,0,F,0,0,425.0,425.0,DATO' SERI SUHAIMI HASHIM,03500,PH,3708.0,29765.0
106,2022,MOHD SYAHRIR CHE SULAIMAN,PN,PAS,57130,0,025,BACHOK,Kelantan,0,0,F,0,0,813.0,813.0,SYAHIR SULAIMAN,02500,PAS,57130.0,29901.0
107,2022,NOR AZMIZA MAMAT,PH,PKR,4366,0,025,BACHOK,Kelantan,0,0,M,0,0,870.0,870.0,NOR AZMIZA MAMAT,02500,PH,4366.0,29901.0
108,2022,ZU,,IND,418,0,025,BACHOK,Kelantan,0,0,F,0,1,186.0,186.0,HAJI ZU,02500,BEBAS,418.0,29901.0
109,2022,KAMARUL AZAM OSMAN,GTA,PUTRA,274,0,025,BACHOK,Kelantan,0,0,F,0,0,340.0,340.0,CIKGU ZAM,02500,PUTRA,274.0,29901.0
110,2022,MOHD ZAIN YASIM,BN,UMNO,27229,0,025,BACHOK,Kelantan,0,0,F,0,0,115.0,115.0,DATUK HAJI ZAIN,02500,BN,27229.0,29901.0
111,2022,MUJAHID YUSOF RAWA,PH,AMANAH,17828,0,057,PARIT BUNTAR,Perak,0,0,F,0,0,81.0,81.0,DATUK SERI DR MUJAHID YUSOF RAWA,05700,PH,17828.0,5395.0
112,2022,IMRAN MOHD YUSOF,BN,UMNO,11593,0,057,PARIT BUNTAR,Perak,0,0,F,0,0,610.0,610.0,CIKGU IMRAN,05700,BN,11593.0,5395.0
113,2022,ROHIJAS,GTA,PEJUANG,259,0,057,PARIT BUNTAR,Perak,0,0,F,0,0,924.0,924.0,HJ ROHIJAS,05700,PEJUANG,259.0,5395.0
114,2022,MOHD MISBAHUL MUNIR MASDUKI,PN,PAS,23223,0,057,PARIT BUNTAR,Perak,0,0,F,0,0,780.0,780.0,USTAZ MISBAH,05700,PN,23223.0,5395.0
115,2022,RAZALI LEBAI SALLEH,GTA,PEJUANG,452,0,007,PADANG TERAP,Kedah,0,0,F,0,0,302.0,302.0,RAZALI BIN LEBAI SALLEH,00700,PEJUANG,452.0,10959.0
116,2022,MAHDZIR KHALID,BN,UMNO,17258,0,007,PADANG TERAP,Kedah,0,0,F,0,0,477.0,477.0,MAHDZIR BIN KHALID,00700,BN,17258.0,10959.0
117,2022,MUAZ ABDULLAH,PH,AMANAH,2702,0,007,PADANG TERAP,Kedah,0,0,F,0,0,201.0,201.0,MUAZ ABDULLAH,00700,PH,2702.0,10959.0
118,2022,NURUL AMIN HAMID,PN,PAS,28217,0,007,PADANG TERAP,Kedah,0,0,F,0,0,75.0,75.0,USTAZ NURUL AMIN,00700,PN,28217.0,10959.0
119,2022,WAN AHMAD KAMIL WAN ABDULLAH,PH,AMANAH,10236,0,024,KUBANG KERIAN,Kelantan,0,0,F,0,0,255.0,255.0,DR.WAN AHMAD KAMIL,02400,PH,10236.0,40847.0
120,2022,MOHAMAD RIZAL RAZALI,GTA,PEJUANG,687,0,024,KUBANG KERIAN,Kelantan,0,0,F,0,0,138.0,138.0,RIZAL,02400,PEJUANG,687.0,40847.0
121,2022,NURUL AMAL MOHD FAUZI,BN,UMNO,14807,0,024,KUBANG KERIAN,Kelantan,0,0,M,0,0,82.0,82.0,KAK LONG,02400,BN,14807.0,40847.0
122,2022,TUAN IBRAHIM TUAN MAN,PN,PAS,55654,0,024,KUBANG KERIAN,Kelantan,0,0,F,0,0,682.0,682.0,USTAZ DATO' TUAN IBRAHIM,02400,PAS,55654.0,40847.0
123,2022,MOHAMAD ABU BAKAR MUDA,GTA,PUTRA,481,0,036,KUALA TERENGGANU,Terengganu,0,0,F,0,1,231.0,231.0,MOHAMAD ABU BAKAR BIN MUDA,03600,PEJUANG,481.0,40907.0
124,2022,MOHD ZUBIR EMBONG,BN,UMNO,22109,0,036,KUALA TERENGGANU,Terengganu,0,0,F,0,0,341.0,341.0,DATO' CIKGU ZUBIR,03600,BN,22109.0,40907.0
125,2022,RAJA KAMARUL BAHRIN SHAH,PH,AMANAH,10946,0,036,KUALA TERENGGANU,Terengganu,0,0,F,0,0,53.0,53.0,DATO' RAJA BAHRIN,03600,PH,10946.0,40907.0
126,2022,AHMAD AMZAD MOHAMED,PN,PAS,63016,0,036,KUALA TERENGGANU,Terengganu,0,0,F,0,0,131.0,131.0,DATUK HAJI AMZAD HASHIM,03600,PAS,63016.0,40907.0
127,2022,HAMIDI ABU HASSAN,GTA,BERJASA,747,0,041,KEPALA BATAS,Penang,0,0,F,0,1,890.0,890.0,USTAZ HAMIDI ABU HASSAN,04100,PEJUANG,747.0,2867.0
128,2022,SITI MASTURA MOHAMAD,PN,PAS,28604,0,041,KEPALA BATAS,Penang,0,0,M,0,0,147.0,147.0,DR USTAZAH MASTURA,04100,PN,28604.0,2867.0
129,2022,DANIAL ABDUL MAJEED,PH,MUDA,14214,0,041,KEPALA BATAS,Penang,0,0,F,0,0,653.0,653.0,DANIAL ABDUL MAJEED,04100,MUDA,14214.0,2867.0
130,2022,REEZAL MERICAN NAINA MERICAN,BN,UMNO,25737,0,041,KEPALA BATAS,Penang,0,0,F,0,0,460.0,460.0,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,04100,BN,25737.0,2867.0
131,2022,INDRANI,,IND,614,0,062,SUNGAI SIPUT,Perak,0,0,M,0,1,1053.0,1053.0,INDRANI,06200,BEBAS,614.0,1846.0
132,2022,HAJI BAHA,,IND,598,0,062,SUNGAI SIPUT,Perak,0,0,F,0,1,83.0,83.0,HAJI BAHA,06200,BEBAS,598.0,1846.0
133,2022,S VIGNESWARAN M SANASEE,BN,MIC,19791,0,062,SUNGAI SIPUT,Perak,0,0,F,0,0,1111.0,1111.0,TAN SRI SA. VIGNESWARAN (TSV),06200,BN,19791.0,1846.0
134,2022,S KESAVAN,PH,PKR,21637,0,062,SUNGAI SIPUT,Perak,0,0,F,0,0,1.0,1.0,S. KESAVAN,06200,PH,21637.0,1846.0
135,2022,AHMAD FAUZI MOHD JAAFAR,GTA,PEJUANG,784,0,062,SUNGAI SIPUT,Perak,0,0,F,0,0,1003.0,1003.0,AHMAD FAUZI BIN MOHD JAAFAR,06200,PEJUANG,784.0,1846.0
136,2022,RAJAH NARASAIM,,IND,35,0,062,SUNGAI SIPUT,Perak,0,0,F,0,1,1077.0,1077.0,RAJAH A/L NARASAIM,06200,BEBAS,35.0,1846.0
