,parliament_type,state,seat_name,seat_id,parliament_code,name,party
0,parliament,SABAH,KUDAT,167,P.167,RUDDY BIN AWAH,PARTI GABUNGAN RAKYAT SABAH (GRS)
1,parliament,SABAH,KUDAT,167,P.167,PETRONELLA USUN,PARTI PEJUANG TANAHAIR (PEJUANG)
2,parliament,SABAH,KUDAT,167,P.167,RASHID BIN ABDUL HARUN,PARTI WARISAN SABAH (WARISAN)
3,parliament,SABAH,KUDAT,167,P.167,VERDON BIN BAHANDA,BEBAS (KUNCI)
4,parliament,SABAH,KUDAT,167,P.167,THONNY CHEE,PAKATAN HARAPAN (PH)
5,parliament,SABAH,KOTA MARUDU,168,P.168,MOHD AZMI BIN HJ ZULKIFLEE,PARTI PEJUANG TANAHAIR (PEJUANG)
6,parliament,SABAH,KOTA MARUDU,168,P.168,SHAHRIZAL DENCI,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA)
7,parliament,SABAH,KOTA MARUDU,168,P.168,NORMAN BIN TULANG (TAS),BEBAS (KUNCI)
8,parliament,SABAH,KOTA MARUDU,168,P.168,JILID @ ZAINUDDIN BIN KUMINDING,PARTI WARISAN SABAH (WARISAN)
9,parliament,SABAH,KOTA MARUDU,168,P.168,DR.MAXIMUS@JOHNITY ONGKILI,PARTI GABUNGAN RAKYAT SABAH (GRS)
10,parliament,SABAH,KOTA MARUDU,168,P.168,DATUK WETROM BAHANDA,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM)
11,parliament,SABAH,KOTA BELUD,169,P.169,MADELI @ MODILY BIN BANGALI,PAKATAN HARAPAN (PH)
12,parliament,SABAH,KOTA BELUD,169,P.169,DATUK SERI PANGLIMA ABD RAHMAN BIN DAHLAN.,BARISAN NASIONAL (BN)
13,parliament,SABAH,KOTA BELUD,169,P.169,MUNIRAH MAJILIS,PARTI WARISAN SABAH (WARISAN)
14,parliament,SABAH,TUARAN,170,P.170,MADIUS TANGAU,PAKATAN HARAPAN (PH)
15,parliament,SABAH,TUARAN,170,P.170,BOBY BIN LEWAT,BEBAS (KUNCI)
16,parliament,SABAH,TUARAN,170,P.170,NOORTAIP BIN SUHAILI @ SUALEE,BEBAS (PEN)
17,parliament,SABAH,TUARAN,170,P.170,JO-ANNA SUE HENLEY RAMPAS,PARTI WARISAN SABAH (WARISAN)
18,parliament,SABAH,TUARAN,170,P.170,MUMININ B. NORBINSHA,PARTI PEJUANG TANAHAIR (PEJUANG)
19,parliament,SABAH,TUARAN,170,P.170,JONISTON BANGKUAI,PARTI GABUNGAN RAKYAT SABAH (GRS)
20,parliament,SABAH,SEPANGGAR,171,P.171,MOHD AZIS JAMMAN,PARTI WARISAN SABAH (WARISAN)
21,parliament,SABAH,SEPANGGAR,171,P.171,YAKUB KHAN,BARISAN NASIONAL (BN)
22,parliament,SABAH,SEPANGGAR,171,P.171,YUSOF BIN KUNCHANG,PARTI PEJUANG TANAHAIR (PEJUANG)
23,parliament,SABAH,SEPANGGAR,171,P.171,MUSTAPHA SAKMUD,PAKATAN HARAPAN (PH)
24,parliament,SABAH,SEPANGGAR,171,P.171,JUMARDIE LUKMAN,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM)
25,parliament,SABAH,KOTA KINABALU,172,P.172,YEO YAN YIN @ AMANDA,PARTI WARISAN SABAH (WARISAN)
26,parliament,SABAH,KOTA KINABALU,172,P.172,MARCEL JUDE,BEBAS (TELEFON)
27,parliament,SABAH,KOTA KINABALU,172,P.172,WINSTON LIAW KIT SIONG,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM)
28,parliament,SABAH,KOTA KINABALU,172,P.172,CHAN FOONG HIN,PAKATAN HARAPAN (PH)
29,parliament,SABAH,KOTA KINABALU,172,P.172,YEE TSAI YIEW,PARTI GABUNGAN RAKYAT SABAH (GRS)
30,parliament,SABAH,PUTATAN,173,P.173,AWANG HUSAINI BIN SAHARI,PAKATAN HARAPAN (PH)
31,parliament,SABAH,PUTATAN,173,P.173,SHAHELMEY BIN YAHYA,BARISAN NASIONAL (BN)
32,parliament,SABAH,PUTATAN,173,P.173,POYNE B. TUDUS @ PATRICK PAYNE,PARTI PEJUANG TANAHAIR (PEJUANG)
33,parliament,SABAH,PUTATAN,173,P.173,AHMAD BIN MOHD SAID,PARTI WARISAN SABAH (WARISAN)
34,parliament,SABAH,PENAMPANG,174,P.174,EWON BENEDICK,PAKATAN HARAPAN (PH)
35,parliament,SABAH,PENAMPANG,174,P.174,RICHARD JIMMY,BEBAS (POKOK)
36,parliament,SABAH,PENAMPANG,174,P.174,KENNY CHUA TECK HO,PARTI GABUNGAN RAKYAT SABAH (GRS)
37,parliament,SABAH,PENAMPANG,174,P.174,DARELL LEIKING,PARTI WARISAN SABAH (WARISAN)
38,parliament,SABAH,PAPAR,175,P.175,NICHOLAS SYLVESTER @ BERRY,PARTI PEJUANG TANAHAIR (PEJUANG)
39,parliament,SABAH,PAPAR,175,P.175,NORBERT CHIN,BEBAS (KUNCI)
40,parliament,SABAH,PAPAR,175,P.175,HENRY SHIM,PAKATAN HARAPAN (PH)
41,parliament,SABAH,PAPAR,175,P.175,JOHNNY SITAMIN,BEBAS (PEN)
42,parliament,SABAH,PAPAR,175,P.175,HJ. AHMAD HASSAN,PARTI WARISAN SABAH (WARISAN)
43,parliament,SABAH,PAPAR,175,P.175,DATUK ARMIZAN BIN MOHD ALI,PARTI GABUNGAN RAKYAT SABAH (GRS)
44,parliament,SABAH,KIMANIS,176,P.176,MOHAMAD BIN ALAMIN,BARISAN NASIONAL (BN)
45,parliament,SABAH,KIMANIS,176,P.176,DAUD BIN YUSOF,PARTI WARISAN SABAH (WARISAN)
46,parliament,SABAH,KIMANIS,176,P.176,YUSOP BIN OSMAN,PARTI PEJUANG TANAHAIR (PEJUANG)
47,parliament,SABAH,KIMANIS,176,P.176,ROWINDY LAWRENCE ODONG,PAKATAN HARAPAN (PH)
48,parliament,SABAH,KIMANIS,176,P.176,AMAT BIN MD YUSOF,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM)
49,parliament,SABAH,BEAUFORT,177,P.177,DIKIN BIN MUSAH,PAKATAN HARAPAN (PH)
50,parliament,SABAH,BEAUFORT,177,P.177,MATLANI BIN SABLI,BEBAS (POKOK)
51,parliament,SABAH,BEAUFORT,177,P.177,JOHAN @ CHRISTOPHER BIN O T GHANI,BEBAS (KUNCI)
52,parliament,SABAH,BEAUFORT,177,P.177,MASRI BIN ADUL,PARTI WARISAN SABAH (WARISAN)
53,parliament,SABAH,BEAUFORT,177,P.177,DATUK SITI AMINAH BINTI ACHING,BARISAN NASIONAL (BN)
54,parliament,SABAH,BEAUFORT,177,P.177,DATUK HJH.JOHAIR MAT LANI,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM)
55,parliament,SABAH,SIPITANG,178,P.178,DATUK MATBALI BIN MUSAH,PARTI GABUNGAN RAKYAT SABAH (GRS)
56,parliament,SABAH,SIPITANG,178,P.178,LAHIRUL,PAKATAN HARAPAN (PH)
57,parliament,SABAH,SIPITANG,178,P.178,ADNAN BIN OKK PUTEH,PARTI WARISAN SABAH (WARISAN)
58,parliament,SABAH,RANAU,179,P.179,TAUFIK DAHLAN,PAKATAN HARAPAN (PH)
59,parliament,SABAH,RANAU,179,P.179,JONATHAN YASIN,PARTI GABUNGAN RAKYAT SABAH (GRS)
60,parliament,SABAH,RANAU,179,P.179,AZIZUL JULIRIN,PARTI PEJUANG TANAHAIR (PEJUANG)
61,parliament,SABAH,RANAU,179,P.179,MARKOS SITON,PARTI WARISAN SABAH (WARISAN)
62,parliament,SABAH,RANAU,179,P.179,EWON BIN EBIN,PARTI BERSATU RAKYAT SABAH (PBRS)
63,parliament,SABAH,KENINGAU,180,P.180,GRELYDIA GILLOD,PAKATAN HARAPAN (PH)
64,parliament,SABAH,KENINGAU,180,P.180,RASININ BIN KOUTIS @ KAUTIS,PARTI WARISAN SABAH (WARISAN)
