,parliament_type,state,seat_name,seat_id,parliament_code,name,party
0,parliament,PERAK,GERIK,054,P.054,DR ASYRAF WAJDI DUSUKI,BARISAN NASIONAL (BN)
1,parliament,PERAK,GERIK,054,P.054,FATHUL HUZIR AYOB,PERIKATAN NASIONAL (PN)
2,parliament,PERAK,GERIK,054,P.054,TARMIZI MOHD JAM,PAKATAN HARAPAN (PH)
3,parliament,PERAK,LENGGONG,055,P.055,DR SHAMSUL ANUAR NASARAH,BARISAN NASIONAL (BN)
4,parliament,PERAK,LENGGONG,055,P.055,JUREY LATIFF ROSLI,PAKATAN HARAPAN (PH)
5,parliament,PERAK,LENGGONG,055,P.055,USTAZ RIF'AAT RAZMAN,PERIKATAN NASIONAL (PN)
6,parliament,PERAK,LARUT,056,P.056,USTAZ AUZAIE,PARTI PEJUANG TANAHAIR (PEJUANG)
7,parliament,PERAK,LARUT,056,P.056,USTAZ ZOLKHARNAIN BIN ABIDIN,PAKATAN HARAPAN (PH)
8,parliament,PERAK,LARUT,056,P.056,SHAFIQ FHADLY MAHMUD,BARISAN NASIONAL (BN)
9,parliament,PERAK,LARUT,056,P.056,DATO SERI HAMZAH ZAINUDIN,PERIKATAN NASIONAL (PN)
10,parliament,PERAK,PARIT BUNTAR,057,P.057,DATUK SERI DR MUJAHID YUSOF RAWA,PAKATAN HARAPAN (PH)
11,parliament,PERAK,PARIT BUNTAR,057,P.057,CIKGU IMRAN,BARISAN NASIONAL (BN)
12,parliament,PERAK,PARIT BUNTAR,057,P.057,HJ ROHIJAS,PARTI PEJUANG TANAHAIR (PEJUANG)
13,parliament,PERAK,PARIT BUNTAR,057,P.057,USTAZ MISBAH,PERIKATAN NASIONAL (PN)
14,parliament,PERAK,BAGAN SERAI,058,P.058,DATUK USTAZ IDRIS,PERIKATAN NASIONAL (PN)
15,parliament,PERAK,BAGAN SERAI,058,P.058,HAJI AHMAD LUQMAN,PARTI PEJUANG TANAHAIR (PEJUANG)
16,parliament,PERAK,BAGAN SERAI,058,P.058,HAJI ZUL HELMI GHAZALI,BARISAN NASIONAL (BN)
17,parliament,PERAK,BAGAN SERAI,058,P.058,SITI AISHAH BINTI SHAIK ISMAIL,PAKATAN HARAPAN (PH)
18,parliament,PERAK,BUKIT GANTANG,059,P.059,DATO' SYED ABU HUSSIN,PERIKATAN NASIONAL (PN)
19,parliament,PERAK,BUKIT GANTANG,059,P.059,MOHD SHUKRI,PARTI PEJUANG TANAHAIR (PEJUANG)
20,parliament,PERAK,BUKIT GANTANG,059,P.059,DR FAKHRULDIN MOHD HASHIM,PAKATAN HARAPAN (PH)
21,parliament,PERAK,BUKIT GANTANG,059,P.059,MOHAMMAD SOLLEHIN,BARISAN NASIONAL (BN)
22,parliament,PERAK,TAIPING,060,P.060,NEOW CHOO SEONG,BARISAN NASIONAL (BN)
23,parliament,PERAK,TAIPING,060,P.060,MOHGANAN A/L P MANIKAM,BEBAS (GAJAH)
24,parliament,PERAK,TAIPING,060,P.060,WONG KAH WOH,PAKATAN HARAPAN (PH)
25,parliament,PERAK,TAIPING,060,P.060,CIKGU SEE TEAN SENG,PERIKATAN NASIONAL (PN)
26,parliament,PERAK,TAIPING,060,P.060,TS.DR.RAMA,BEBAS (ARNAB)
27,parliament,PERAK,TAIPING,060,P.060,LEOW THYE YIH,BEBAS (CERMIN MATA)
28,parliament,PERAK,PADANG RENGAS,061,P.061,KAPTEN AZAHARI,PERIKATAN NASIONAL (PN)
29,parliament,PERAK,PADANG RENGAS,061,P.061,MOHD ARRIF BIN ABDUL MAJID,BARISAN NASIONAL (BN)
30,parliament,PERAK,PADANG RENGAS,061,P.061,KAMIL MUNIM,PAKATAN HARAPAN (PH)
31,parliament,PERAK,SUNGAI SIPUT,062,P.062,INDRANI,BEBAS (KUNCI)
32,parliament,PERAK,SUNGAI SIPUT,062,P.062,HAJI BAHA,BEBAS (BUKU)
33,parliament,PERAK,SUNGAI SIPUT,062,P.062,TAN SRI SA. VIGNESWARAN (TSV),BARISAN NASIONAL (BN)
34,parliament,PERAK,SUNGAI SIPUT,062,P.062,S. KESAVAN,PAKATAN HARAPAN (PH)
35,parliament,PERAK,SUNGAI SIPUT,062,P.062,AHMAD FAUZI BIN MOHD JAAFAR,PARTI PEJUANG TANAHAIR (PEJUANG)
36,parliament,PERAK,SUNGAI SIPUT,062,P.062,RAJAH A/L NARASAIM,BEBAS (KUDA)
37,parliament,PERAK,SUNGAI SIPUT,062,P.062,DATO SRI IRUDIANATHAN,PERIKATAN NASIONAL (PN)
38,parliament,PERAK,TAMBUN,063,P.063,ANWAR IBRAHIM,PAKATAN HARAPAN (PH)
39,parliament,PERAK,TAMBUN,063,P.063,AMINUDDIN HANAFIAH,BARISAN NASIONAL (BN)
40,parliament,PERAK,TAMBUN,063,P.063,ABDUL RAHIM TAHIR,PARTI PEJUANG TANAHAIR (PEJUANG)
41,parliament,PERAK,TAMBUN,063,P.063,AHMAD FAIZAL AZUMU @ PEJA,PERIKATAN NASIONAL (PN)
42,parliament,PERAK,IPOH TIMOR,064,P.064,NOR AFZAINIZAM BIN SALLEH,PERIKATAN NASIONAL (PN)
43,parliament,PERAK,IPOH TIMOR,064,P.064,NG KAI CHEONG,BARISAN NASIONAL (BN)
44,parliament,PERAK,IPOH TIMOR,064,P.064,HOWARD LEE CHUAN HOW,PAKATAN HARAPAN (PH)
45,parliament,PERAK,IPOH BARAT,065,P.065,AH NAN,BARISAN NASIONAL (BN)
46,parliament,PERAK,IPOH BARAT,065,P.065,M. KULA,PAKATAN HARAPAN (PH)
47,parliament,PERAK,IPOH BARAT,065,P.065,CHEK KWONG WENG,PERIKATAN NASIONAL (PN)
48,parliament,PERAK,IPOH BARAT,065,P.065,TAN SRI M KAYVEAS,BEBAS (JAM)
49,parliament,PERAK,BATU GAJAH,066,P.066,TEOH CHIN CHONG,BARISAN NASIONAL (BN)
50,parliament,PERAK,BATU GAJAH,066,P.066,V. SIVAKUMAR,PAKATAN HARAPAN (PH)
51,parliament,PERAK,BATU GAJAH,066,P.066,WOO CHEONG YUEN,PERIKATAN NASIONAL (PN)
52,parliament,PERAK,KUALA KANGSAR,067,P.067,ISKANDAR DZULKARNAIN,PERIKATAN NASIONAL (PN)
53,parliament,PERAK,KUALA KANGSAR,067,P.067,MASLIN SHAM BIN RAZMAN,BARISAN NASIONAL (BN)
54,parliament,PERAK,KUALA KANGSAR,067,P.067,DR YUSMALIA BT MOHAMAD YUSOF,PARTI PEJUANG TANAHAIR (PEJUANG)
55,parliament,PERAK,KUALA KANGSAR,067,P.067,DR. AHMAD TERMIZI RAMLI,PAKATAN HARAPAN (PH)
56,parliament,PERAK,BERUAS,068,P.068,DATO' NGEH KOO HAM,PAKATAN HARAPAN (PH)
57,parliament,PERAK,BERUAS,068,P.068,Ir. ONG KEAN SING,PERIKATAN NASIONAL (PN)
58,parliament,PERAK,BERUAS,068,P.068,DING SIEW CHEE,BARISAN NASIONAL (BN)
59,parliament,PERAK,PARIT,069,P.069,USTAZ ISMI,PERIKATAN NASIONAL (PN)
60,parliament,PERAK,PARIT,069,P.069,NURTHAQAFFAH NORDIN,PAKATAN HARAPAN (PH)
61,parliament,PERAK,PARIT,069,P.069,DATO' NIZAR,BARISAN NASIONAL (BN)
62,parliament,PERAK,PARIT,069,P.069,DR. FAIZOL FADZLI,PARTI PEJUANG TANAHAIR (PEJUANG)
63,parliament,PERAK,KAMPAR,070,P.070,LEE CHEE LEONG,BARISAN NASIONAL (BN)
64,parliament,PERAK,KAMPAR,070,P.070,JANICE WONG,PERIKATAN NASIONAL (PN)
65,parliament,PERAK,KAMPAR,070,P.070,CHONG ZHEMIN,PAKATAN HARAPAN (PH)
66,parliament,PERAK,KAMPAR,070,P.070,LEONG CHEOK LUNG,PARTI WARISAN SABAH (WARISAN)
67,parliament,PERAK,GOPENG,071,P.071,MUHAMMAD FARHAN BIN ABDUL RAHIM,PERIKATAN NASIONAL (PN)
68,parliament,PERAK,GOPENG,071,P.071,CALLY TING,BARISAN NASIONAL (BN)
69,parliament,PERAK,GOPENG,071,P.071,TAN KAR HING,PAKATAN HARAPAN (PH)
70,parliament,PERAK,GOPENG,071,P.071,BALACHANDRAN A/L GOPAL,PARTI WARISAN SABAH (WARISAN)
71,parliament,PERAK,TAPAH,072,P.072,SARASWATHY KANDASAMI,PAKATAN HARAPAN (PH)
72,parliament,PERAK,TAPAH,072,P.072,DATUK HAJI MUHAMMAD YADZAN BIN HAJI MOHAMMAD,PERIKATAN NASIONAL (PN)
73,parliament,PERAK,TAPAH,072,P.072,MOHAMED AKBAR B. YASIN,PARTI WARISAN SABAH (WARISAN)
74,parliament,PERAK,TAPAH,072,P.072,DATUK SERI M. SARAVANAN,BARISAN NASIONAL (BN)
75,parliament,PERAK,TAPAH,072,P.072,M. KATHIRAVAN,BEBAS (KUNCI)
76,parliament,PERAK,TAPAH,072,P.072,MIOR HAIDIR,PARTI PEJUANG TANAHAIR (PEJUANG)
77,parliament,PERAK,PASIR SALAK,073,P.073,ZAIROL HIZAM BIN ZAKARIA,PARTI PEJUANG TANAHAIR (PEJUANG)
78,parliament,PERAK,PASIR SALAK,073,P.073,USTAZ NIK OMAR,PAKATAN HARAPAN (PH)
79,parliament,PERAK,PASIR SALAK,073,P.073,USTAZ JAMALUDIN BIN YAHYA,PERIKATAN NASIONAL (PN)
80,parliament,PERAK,PASIR SALAK,073,P.073,KHAIRUL AZWAN HARUN,BARISAN NASIONAL (BN)
81,parliament,PERAK,LUMUT,074,P.074,DR ZAMBRY ABD KADIR,BARISAN NASIONAL (BN)
82,parliament,PERAK,LUMUT,074,P.074,DR HATTA RAMLI,PAKATAN HARAPAN (PH)
83,parliament,PERAK,LUMUT,074,P.074,KOMANDER (B) NORDIN,PERIKATAN NASIONAL (PN)
84,parliament,PERAK,LUMUT,074,P.074,KOMANDER ISNIN,PARTI WARISAN SABAH (WARISAN)
85,parliament,PERAK,LUMUT,074,P.074,MAZLAN ABD GHANI,PARTI PEJUANG TANAHAIR (PEJUANG)
86,parliament,PERAK,BAGAN DATUK,075,P.075,TAWFIK TUN DR ISMAIL,BEBAS (KUNCI)
87,parliament,PERAK,BAGAN DATUK,075,P.075,DR. FAIZ NA'AMAN,PERIKATAN NASIONAL (PN)
88,parliament,PERAK,BAGAN DATUK,075,P.075,DATUK SERI HAJI SHAMSUL ISKANDAR,PAKATAN HARAPAN (PH)
89,parliament,PERAK,BAGAN DATUK,075,P.075,ZAHID HAMIDI,BARISAN NASIONAL (BN)
90,parliament,PERAK,TELUK INTAN,076,P.076,NGA KOR MING,PAKATAN HARAPAN (PH)
91,parliament,PERAK,TELUK INTAN,076,P.076,DATO T. MURUGIAH,BARISAN NASIONAL (BN)
92,parliament,PERAK,TELUK INTAN,076,P.076,AMIR KHUSYAIRI,PARTI PEJUANG TANAHAIR (PEJUANG)
93,parliament,PERAK,TELUK INTAN,076,P.076,ZAINOL FADZI PAHARUDIN,PERIKATAN NASIONAL (PN)
94,parliament,PERAK,TANJONG MALIM,077,P.077,DATUK JAMALUDDIN BIN MOHD. RADZI,BEBAS (KUDA)
95,parliament,PERAK,TANJONG MALIM,077,P.077,CIKGU IZZAT JOHARI,BEBAS (PEN)
96,parliament,PERAK,TANJONG MALIM,077,P.077,CHANG LIH KANG,PAKATAN HARAPAN (PH)
97,parliament,PERAK,TANJONG MALIM,077,P.077,DR MAH HANG SOON,BARISAN NASIONAL (BN)
98,parliament,PERAK,TANJONG MALIM,077,P.077,NOLEE RADZI,PERIKATAN NASIONAL (PN)
99,parliament,PERAK,TANJONG MALIM,077,P.077,DR AMIR HAMZAH,PARTI PEJUANG TANAHAIR (PEJUANG)
100,parliament,PAHANG,CAMERON HIGHLANDS,078,P.078,DATO' RAMLI BIN MOHD NOR,BARISAN NASIONAL (BN)
101,parliament,PAHANG,CAMERON HIGHLANDS,078,P.078,DR.ABDUL RASID,PERIKATAN NASIONAL (PN)
102,parliament,PAHANG,CAMERON HIGHLANDS,078,P.078,CHIONG YOKE KONG,PAKATAN HARAPAN (PH)
