,parliament_type,state,seat_name,seat_id,parliament_code,name,party
0,states,PERLIS,TITI TINGGI,00101,N.01,KHAW HOCK KONG,PARTI WARISAN SABAH (WARISAN)
1,states,PERLIS,TITI TINGGI,00101,N.01,TEH SENG CHUAN,PAKATAN HARAPAN (PH)
2,states,PERLIS,TITI TINGGI,00101,N.01,IZIZAM BIN IBRAHIM (ADI),PERIKATAN NASIONAL (PN)
3,states,PERLIS,TITI TINGGI,00101,N.01,ZAHIDI BIN ZAINUL ABIDIN,BEBAS (BUKU)
4,states,PERLIS,TITI TINGGI,00101,N.01,SHAHRIL (CAEN),PARTI PEJUANG TANAHAIR (PEJUANG)
5,states,PERLIS,TITI TINGGI,00101,N.01,TEH CHAI AAN,BARISAN NASIONAL (BN)
6,states,PERLIS,BESERI,00102,N.02,CIKGU MAT SAFAR,PAKATAN HARAPAN (PH)
7,states,PERLIS,BESERI,00102,N.02,HAZIQ ASYRAF DUN,PERIKATAN NASIONAL (PN)
8,states,PERLIS,BESERI,00102,N.02,RUZAINI BIN RAIS,BARISAN NASIONAL (BN)
9,states,PERLIS,BESERI,00102,N.02,SHAMIM NORDIN,PARTI WARISAN SABAH (WARISAN)
10,states,PERLIS,CHUPING,00103,N.03,NATTHAVUTH SENG,PAKATAN HARAPAN (PH)
11,states,PERLIS,CHUPING,00103,N.03,HJ SAAD BIN SEMAN,PERIKATAN NASIONAL (PN)
12,states,PERLIS,CHUPING,00103,N.03,ASMAIZA BINTI AHMAD,BARISAN NASIONAL (BN)
13,states,PERLIS,MATA AYER,00104,N.04,WAN BADARIAH BINTI WAN SAAD,PERIKATAN NASIONAL (PN)
14,states,PERLIS,MATA AYER,00104,N.04,AMRAN BIN KAMARUDIN,PAKATAN HARAPAN (PH)
15,states,PERLIS,MATA AYER,00104,N.04,SITI BERENEE,BARISAN NASIONAL (BN)
16,states,PERLIS,SANTAN,00105,N.05,CIKGU MAZLINA,PAKATAN HARAPAN (PH)
17,states,PERLIS,SANTAN,00105,N.05,USTAZ AZMIR,PERIKATAN NASIONAL (PN)
18,states,PERLIS,SANTAN,00105,N.05,AZIZAN SULAIMAN,BARISAN NASIONAL (BN)
19,states,PERLIS,BINTONG,00206,N.06,SHAZWAN BIN SUBAN,PARTI PEJUANG TANAHAIR (PEJUANG)
