,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
417,PKR,MUSTAFA KAMIL AYUB,3213,0.0,2004,Perak,BUKIT CHANDAN,067-034,,0,10039,32.00517979878474
418,UMNO,DATUK RAMLY ZAHARI,4693,2353.0,2004,Perak,MANONG,067-035,,1,7033,66.72828096118299
419,PAS,ASMUNI AWI,2340,0.0,2004,Perak,MANONG,067-035,,0,7033,33.271719038817004
420,UMNO,DATUK HAMDI ABU BAKAR,6240,2178.0,2004,Perak,PENGKALAN BARU,068-036,,1,10302,60.57076295864881
421,PKR,KAMARUDDIN AWANG THE,4062,0.0,2004,Perak,PENGKALAN BARU,068-036,,0,10302,39.42923704135119
422,DAP,NGA KOR MING,9703,2303.0,2004,Perak,PANTAI REMIS,068-037,,1,17103,56.73273694673449
423,MCA,WONG CHONG SANG,7400,0.0,2004,Perak,PANTAI REMIS,068-037,,0,17103,43.26726305326551
424,UMNO,DATUK ZAIM ABU HASSAN,6916,3143.0,2004,Perak,BELANJA,069-038,,1,10689,64.70203012442698
425,PAS,DR FAIZOL FADZLI MOHAMED,3773,0.0,2004,Perak,BELANJA,069-038,,0,10689,35.29796987557302
426,UMNO,CHE RI MD DAUD,6031,1729.0,2004,Perak,BOTA,069-039,,1,10333,58.36639891609407
427,PKR,KAPT (B) USAILI ALIAS,4302,0.0,2004,Perak,BOTA,069-039,,0,10333,41.63360108390593
428,MCA,DATUK LEE CHEE LEONG,10943,7340.0,2004,Perak,MALIM NAWAR,070-040,,1,14546,75.23030386360512
429,DAP,HONG CHIN POH,3603,0.0,2004,Perak,MALIM NAWAR,070-040,,0,14546,24.769696136394884
430,DAP,CHEN FOOK CHYE,5989,47.0,2004,Perak,KERANJI,070-041,,1,11931,50.196965887184646
431,MCA,DATUK DR CHONG FAH @ CHONG KAM,5942,0.0,2004,Perak,KERANJI,070-041,,0,11931,49.803034112815354
432,UMNO,DATUK MOHD RADZI MANAN,7230,3311.0,2004,Perak,TUALANG SEKAH,070-042,,1,11149,64.8488653690914
433,PKR,SALMA ISMAIL,3919,0.0,2004,Perak,TUALANG SEKAH,070-042,,0,11149,35.1511346309086
434,UMNO,HAMIDAH OSMAN,11574,6048.0,2004,Perak,SUNGAI RAPAT,071-043,,1,17636,65.6271263325017
435,PAS,ROSLAM SHAROM,5526,0.0,2004,Perak,SUNGAI RAPAT,071-043,,0,17636,31.333635745066907
436,IND,R BALAKRISNAN,536,0.0,2004,Perak,SUNGAI RAPAT,071-043,,0,17636,3.0392379224313903
437,MCA,CHAN CHIN CHEE,8193,2017.0,2004,Perak,SIMPANG PULAI,071-044,,1,16487,49.693698065142236
438,DAP,BEH BOON CHONG,6176,0.0,2004,Perak,SIMPANG PULAI,071-044,,0,16487,37.45981682537757
439,PKR,TAI SING NG,2118,0.0,2004,Perak,SIMPANG PULAI,071-044,,0,16487,12.846485109480197
440,MCA,DR HO WAI CHEONG,6775,2345.0,2004,Perak,TEJA,071-045,,1,11205,60.464078536367694
441,DAP,ABD RAHMAN SAID ALI,4430,0.0,2004,Perak,TEJA,071-045,,0,11205,39.535921463632306
442,MCA,DATUK CHANG KON YOU @ CHEN KWAN WU,8462,6153.0,2004,Perak,CHENDERIANG,072-046,,1,10771,78.56280753876149
443,PKR,S FRANCIS,2309,0.0,2004,Perak,CHENDERIANG,072-046,,0,10771,21.43719246123851
444,UMNO,SAMSUDDIN ABU HASSAN,10218,6877.0,2004,Perak,AYER KUNING,072-047,,1,13559,75.35953978906998
445,PKR,MOHD ASRI OTHMAN,3341,0.0,2004,Perak,AYER KUNING,072-047,,0,13559,24.64046021093001
446,UMNO,IBRAHIM KATOP,9121,3599.0,2004,Perak,SUNGEI MANIK,073-048,,1,14643,62.28914839855221
447,PKR,OSMAN ABDUL RAHMAN,5522,0.0,2004,Perak,SUNGEI MANIK,073-048,,0,14643,37.71085160144779
448,UMNO,TAJUDDIN RAHMAN,10352,5017.0,2004,Perak,KAMPONG GAJAH,073-049,,1,15687,65.99094791865876
449,PAS,MUSTAFA SHAARI,5335,0.0,2004,Perak,KAMPONG GAJAH,073-049,,0,15687,34.00905208134124
450,DAP,NGEH KOO HAM,9874,5137.0,2004,Perak,SITIAWAN,074-050,,1,14611,67.57922113476148
451,MCA,LING MEE LIN,4737,0.0,2004,Perak,SITIAWAN,074-050,,0,14611,32.42077886523852
452,MIC,M RAMACHANDRAN,9446,1644.0,2004,Perak,PASIR PANJANG,074-051,,1,17248,54.76576994434137
453,PAS,NORAZIL MUSA,7802,0.0,2004,Perak,PASIR PANJANG,074-051,,0,17248,45.23423005565863
454,UMNO,DATUK DR ZAMBRY ABD KADIR,8349,5669.0,2004,Perak,PANGKOR,074-052,,1,11146,74.90579580118428
455,PKR,SUWARDI SAPUAM,2680,0.0,2004,Perak,PANGKOR,074-052,,0,11146,24.044500269154852
456,IND,MOHD ISA MOHD SOM,117,0.0,2004,Perak,PANGKOR,074-052,,0,11146,1.0497039296608648
457,UMNO,SHAARANI MOHAMAD,5789,2330.0,2004,Perak,RUNGKUP,075-053,,1,9248,62.59731833910035
458,PAS,MISBAHUL MUNIR MASDUKI,3459,0.0,2004,Perak,RUNGKUP,075-053,,0,9248,37.40268166089965
459,MIC,DATUK G RAJOO,8145,3759.0,2004,Perak,HUTAN MELINTANG,075-054,,1,12531,64.99880296863778
460,PKR,MADZI HASSAN,4386,0.0,2004,Perak,HUTAN MELINTANG,075-054,,0,12531,35.001197031362224
461,DAP,SEAH LEONG PENG,11050,3391.0,2004,Perak,PASIR BEDEMAR,076-055,,1,18709,59.06248329680902
462,PPP,LEE HENG,7659,0.0,2004,Perak,PASIR BEDEMAR,076-055,,0,18709,40.93751670319098
463,UMNO,DATUK ONN HAMZAH,9496,3611.0,2004,Perak,CHANGKAT JONG,076-056,,1,15381,61.738508549509135
464,PAS,FAKHARUDDIN DATUK AHMAD GHAZALI,5885,0.0,2004,Perak,CHANGKAT JONG,076-056,,0,15381,38.261491450490865
465,MIC,R GANESAN,6334,1945.0,2004,Perak,SUNGKAI,077-057,,1,10723,59.06929031054742
466,DAP,A SIVANESAN,4389,0.0,2004,Perak,SUNGKAI,077-057,,0,10723,40.93070968945258
467,UMNO,KHUSAIRI ABD TALIB,8318,4875.0,2004,Perak,SLIM,077-058,,1,11761,70.72527846271575
468,PAS,TERMIZI AB RAHMAN,3443,0.0,2004,Perak,SLIM,077-058,,0,11761,29.274721537284243
469,MIC,R APALANAIDU,7627,3748.0,2004,Perak,BEHRANG,077-059,,1,11506,66.2871545280723
470,PKR,JAMALUDDINMD RADZI,3879,0.0,2004,Perak,BEHRANG,077-059,,0,11506,33.71284547192769
471,MCA,CHOONG CHIN YAN,6193,3903.0,2004,Pahang,TANAH RATA,078-001,,1,8483,73.00483319580337
472,DAP,GO MONG NGING,2290,0.0,2004,Pahang,TANAH RATA,078-001,,0,8483,26.99516680419663
