,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
1120,HARAPAN RAKYAT,MUSTAPA BIN DATU TAMBUYONG,2066,0.0,2018,Sabah,KINABATANGAN,187,MUSTAPA BIN DATU TAMBUYONG,0,21518,9.601264057997955
1121,WARISAN,MOHAMADDIN BIN KETAPI,23352,6401.0,2018,Sabah,SILAM,188,MOHAMADDIN BIN KETAPI,1,43040,54.25650557620818
1122,UMNO,DATU NASRUN DATU MANSUR,16951,0.0,2018,Sabah,SILAM,188,DATU NASRUN BIN DATU MANSUR,0,43040,39.3842936802974
1123,PAS,RAMLI PATARUDDIN,1431,0.0,2018,Sabah,SILAM,188,RAMLI BIN PATARUDDIN,0,43040,3.324814126394052
1124,HARAPAN RAKYAT,SITI SHAZIANTI BINTI AJAK,1306,0.0,2018,Sabah,SILAM,188,SITI SHAZIANTI BINTI AJAK,0,43040,3.0343866171003717
1125,WARISAN,MOHD SHAFIE BIN APDAL,26809,20674.0,2018,Sabah,SEMPORNA,189,MOHD SHAFIE APDAL,1,33426,80.204032788847
1126,UMNO,DATUK RAMLEE BIN MARAHABAN,6135,0.0,2018,Sabah,SEMPORNA,189,HAJI RAMLEE MARAHABAN,0,33426,18.353975946867706
1127,PAS,ABDUL NASIR AB RAUP,384,0.0,2018,Sabah,SEMPORNA,189,ABDUL NASIR BIN AB RAUP,0,33426,1.1488063184347515
1128,HARAPAN RAKYAT,ASMARA BIN ASMAD,98,0.0,2018,Sabah,SEMPORNA,189,ASMARA BIN ASMAD,0,33426,0.2931849458505355
1129,PKR,LIEW CHIN JIN,21400,4727.0,2018,Sabah,TAWAU,190,CHRISTINA LIEW,1,42753,50.054966902907395
1130,PBS,YAP KAIN CHING @ MARY YAP KEN JIN,16673,0.0,2018,Sabah,TAWAU,190,MARY YAP KAIN CHING,0,42753,38.99843285851285
1131,PAS,MOHAMAD HUSAIN,2518,0.0,2018,Sabah,TAWAU,190,MOHAMAD BIN HUSAIN,0,42753,5.8896451710991045
1132,HARAPAN RAKYAT,ALIZAMAN BIN JIJURAHMAN,2162,0.0,2018,Sabah,TAWAU,190,ALIZAMAN BIN JIJURAHMAN,0,42753,5.0569550674806445
1133,WARISAN,MA'MUN BIN SULAIMAN,18486,3187.0,2018,Sabah,KALABAKAN,191,MA'MUN BIN SULAIMAN,1,36909,50.08534503779566
1134,UMNO,DATUK SERI PANGLIMA ABDUL GHAPUR BIN SALLEH,15299,0.0,2018,Sabah,KALABAKAN,191,ABDUL GHAPUR SALLEH,0,36909,41.45059470589829
1135,PAS,NORBIN ALOH,2813,0.0,2018,Sabah,KALABAKAN,191,NORBIN BIN ALOH,0,36909,7.621447343466364
1136,PPRS,AHMAD BIN LAHAMA,311,0.0,2018,Sabah,KALABAKAN,191,AHMAD BIN LAHAMA,0,36909,0.8426129128396868
1137,PBB,WAN JUNAIDI BIN TUANKU JAAFAR,26379,19485.0,2018,Sarawak,SANTUBONG,193,WAN JUNAIDI BIN TUANKU JAAFAR,1,33273,79.28049770083852
1138,AMANAH,MOHAMAD FIDZUAN BIN ZAIDI,6894,0.0,2018,Sarawak,SANTUBONG,193,FIDZUAN ZAIDI,0,33273,20.719502299161483
1139,DAP,CHONG CHIENG JEN,33060,14221.0,2018,Sarawak,STAMPIN,196,CHONG CHIENG JEN,1,51899,63.70064933813754
1140,SUPP,SIM KUI HIAN,18839,0.0,2018,Sarawak,STAMPIN,196,DR SIM KUI HIAN,0,51899,36.29935066186246
1141,PKR,WILLIE ANAK MONGIN,18865,4005.0,2018,Sarawak,PUNCAK BORNEO,198,WILLIE MONGIN,1,34520,54.649478563151796
1142,PBB,GENOT ANAK SINEL @JEANNOTH SINEL,14860,0.0,2018,Sarawak,PUNCAK BORNEO,198,JEANNOTH SINEL,0,34520,43.04750869061414
1143,STAR,BULN ANAK PATRICK RIBOS,795,0.0,2018,Sarawak,PUNCAK BORNEO,198,BULN RIBOS,0,34520,2.3030127462340673
1144,SUPP,RICHARD RIOT ANAK JAEM,17545,9905.0,2018,Sarawak,SERIAN,199,DATO SRI RICHARD RIOT ANAK JAEM,1,27419,63.98847514497246
1145,DAP,EDWARD ANAK ANDREW LUWAK @ EDWARD LUWAK,7640,0.0,2018,Sarawak,SERIAN,199,EDWARD ANDREW LUWAK,0,27419,27.863890003282396
1146,BEBAS,SENIOR ANAK WILLIAM RADE,2234,0.0,2018,Sarawak,SERIAN,199,SENIOR ANAK WILLIAM RADE,0,27419,8.14763485174514
1147,PBB,ROBERT LAWSON CHUAT,12517,8116.0,2018,Sarawak,BETONG,204,ROBERT LAWSON CHUAT,1,20720,60.41023166023166
1148,BEBAS,ABANG AHMAD BIN ABANG SUNI,4401,0.0,2018,Sarawak,BETONG,204,ABANG AHMAD BIN ABANG SUNI,0,20720,21.24034749034749
1149,PKR,NOEL CHANGGAI BUCKING,3802,0.0,2018,Sarawak,BETONG,204,NOEL CHANGGAI BUCKING,0,20720,18.34942084942085
1150,PKR,ALI ANAK BIJU,11848,989.0,2018,Sarawak,SARATOK,205,ALI BIJU,1,22707,52.17774254635135
1151,PDP,JAGAH@SUBENG ANAK MULA,10859,0.0,2018,Sarawak,SARATOK,205,SUBENG ANAK MULA,0,22707,47.82225745364865
1152,PBB,AHMAD JOHNIE BIN ZAWAWI,10538,8495.0,2018,Sarawak,IGAN,207,AHMAD JOHNIE BIN ZAWAWI,1,12581,83.76122724743661
1153,AMANAH,ANDRI ZULKARNAEN BIN HAMDEN,2043,0.0,2018,Sarawak,IGAN,207,HUD ANDRI,0,12581,16.23877275256339
1154,DAP,WONG LING BIU,16327,2570.0,2018,Sarawak,SARIKEI,208,WONG LING BIU,1,30476,53.57330358314739
1155,SUPP,HUANG TIONG SII,13757,0.0,2018,Sarawak,SARIKEI,208,HUANG TIONG SII,0,30476,45.14043837773986
1156,PBK,WONG CHIN KING,392,0.0,2018,Sarawak,SARIKEI,208,WONG CHIN KING,0,30476,1.2862580391127445
1157,BEBAS,LARRY SOON @ LARRY SNG WEI SHIEN,10105,1931.0,2018,Sarawak,JULAU,209,LARRY SOON @ LARRY SNG WEI SHIEN,1,18279,55.282017615843316
