,name,number_of_voters,panel_code,panel_name,tab
0,Juhari Bulat (PH - PPBM),"35.5% (7,550)",N1,AYER HANGAT (P4),state
1,Mohd Rawi Abd Hamid (BN - UMNO),"28.3% (6,018)",N1,AYER HANGAT (P4),state
2,Azlina Azinan (PAS),"18.9% (4,034)",N1,AYER HANGAT (P4),state
3,Mohd Firdaus Ahmad (PH - PPBM),"38.7% (8,276)",N2,KUAH (P4),state
4,Nor Saidi Nanyan (BN - UMNO),"27.2% (5,824)",N2,KUAH (P4),state
5,Mazlan Ahmad (PAS),"12.5% (2,685)",N2,KUAH (P4),state
6,Mohamad Ratu Mansor (IND),0.4% (86),N2,KUAH (P4),state
7,Salmee Said (PH - AMANAH),"30.9% (7,265)",N3,KOTA SIPUTEH (P5),state
8,Mat Rejab Md Akhir (PAS),"24.6% (5,798)",N3,KOTA SIPUTEH (P5),state
9,Ahmad Azhar Abdullah (BN - UMNO),"24.6% (5,795)",N3,KOTA SIPUTEH (P5),state
10,Azhar Ibrahim (PAS),"30.2% (9,229)",N4,AYER HITAM (P5),state
11,A. Aziz Mohamod (PH - PPBM),"28.4% (8,692)",N4,AYER HITAM (P5),state
12,Abu Hassan Sarif (BN - UMNO),"23.6% (7,220)",N4,AYER HITAM (P5),state
13,Halimahton Saadiah Saad (PH - PPBM),"33.8% (11,027)",N5,BUKIT KAYU HITAM (P6),state
14,Ahmad Zaini Japar (BN - UMNO),"27.2% (8,874)",N5,BUKIT KAYU HITAM (P6),state
15,Habshah Bakar (PAS),"20.0% (6,528)",N5,BUKIT KAYU HITAM (P6),state
16,Mukhriz Mahathir (PH - PPBM),"45.7% (18,852)",N6,JITRA (P6),state
17,Aminuddin Omar (BN - UMNO),"19.4% (8,003)",N6,JITRA (P6),state
18,Zulhazmi Osman (PAS),"17.1% (7,064)",N6,JITRA (P6),state
19,Munir Zakaria (PAS),"37.8% (9,118)",N7,KUALA NERANG (P7),state
20,Badrol Hisham Hashim (BN - UMNO),"31.1% (7,499)",N7,KUALA NERANG (P7),state
21,Pak Tuan Syed Fadzil (PH - PPBM),"14.0% (3,376)",N7,KUALA NERANG (P7),state
22,Mohd Radzi Md Amin (PAS),"36.2% (8,164)",N8,PEDU (P7),state
23,Kama Noriah Ibrahim (BN - UMNO),"33.2% (7,494)",N8,PEDU (P7),state
24,Hashim Idris (PH - PKR),"14.5% (3,272)",N8,PEDU (P7),state
