,name,number_of_voters,panel_code,panel_name,tab
0,Rizam Ismail (BN - UMNO),"33.4% (5,437)",N1,SUNGAI AIR TAWAR (P92),state
1,Zamri Yahya (PAS),"24.6% (3,997)",N1,SUNGAI AIR TAWAR (P92),state
2,Mohd Hamizar Sulaiman (PH - PPBM),"24.1% (3,921)",N1,SUNGAI AIR TAWAR (P92),state
3,Ahmad Mustain Othman (PH - PKR),"28.4% (6,981)",N2,SABAK (P92),state
4,Sallehuddin Mohd Iskan (BN - UMNO),"27.9% (6,851)",N2,SABAK (P92),state
5,Sallehen Mukhyi (PAS),"25.1% (6,183)",N2,SABAK (P92),state
6,Mohd Imran Tamrin (BN - UMNO),"34.4% (10,530)",N3,SUNGAI PANJANG (P93),state
7,Mariam Abdul Rashid (PH - AMANAH),"27.6% (8,446)",N3,SUNGAI PANJANG (P93),state
8,Mohd Razali Saari (PAS),"22.8% (6,999)",N3,SUNGAI PANJANG (P93),state
9,Ng Suee Lim (PH - DAP),"43.4% (7,863)",N4,SEKINCHAN (P93),state
10,Lee Yee Yuan (BN - MCA),"27.7% (5,019)",N4,SEKINCHAN (P93),state
11,Mohd Fadzin Taslimin (PAS),"13.0% (2,351)",N4,SEKINCHAN (P93),state
12,Rosni Sohar (BN - UMNO),"35.7% (8,164)",N5,HULU BERNAM (P94),state
13,Mohd Amran Sakir (PH - AMANAH),"35.6% (8,144)",N5,HULU BERNAM (P94),state
14,Mohammed Salleh Ri (PAS),"11.2% (2,554)",N5,HULU BERNAM (P94),state
15,Lee Kee Hiong (PH - DAP),"48.4% (14,101)",N6,KUALA KUBU BAHARU (P94),state
16,Wong Koon Mun (BN - MCA),"23.9% (6,967)",N6,KUALA KUBU BAHARU (P94),state
17,Naharudin Abdul Rashid (PAS),"11.3% (3,306)",N6,KUALA KUBU BAHARU (P94),state
18,Harumaini Omar (PH - PPBM),"44.0% (21,536)",N7,BATANG KALI (P94),state
19,Mat Nadzari Ahmad Dahlan (BN - UMNO),"27.0% (13,221)",N7,BATANG KALI (P94),state
20,Mohd Hasnizan Harun (PAS),"15.1% (7,408)",N7,BATANG KALI (P94),state
21,Mohd Shamsudin Lias (BN - UMNO),"36.4% (8,741)",N8,SUNGAI BURONG (P95),state
22,Mohd Zamri Mohd Zainuldin (PAS),"26.7% (6,411)",N8,SUNGAI BURONG (P95),state
23,Mohd Tarmizi Lazim (PH - PPBM),"22.1% (5,323)",N8,SUNGAI BURONG (P95),state
24,Rozana Zainal Abidin (PH - PKR),"39.8% (9,208)",N9,PERMATANG (P95),state
25,Sulaiman Abdul Razak (BN - UMNO),"34.8% (8,050)",N9,PERMATANG (P95),state
26,Muhammad Jafarudin Sheik Daud (PAS),"11.9% (2,746)",N9,PERMATANG (P95),state
27,Juwairiya Zulkifli (PH - PKR),"41.6% (11,050)",N10,BUKIT MELAWATI (P96),state
28,Jakiran Jacomah (BN - UMNO),"31.4% (8,355)",N10,BUKIT MELAWATI (P96),state
29,Muhmmad Rashid Muhmmad Kassim (PAS),"12.3% (3,261)",N10,BUKIT MELAWATI (P96),state
30,Idris Ahmad (PH - PKR),"38.6% (8,914)",N11,IJOK (P96),state
31,Parthiban Karuppiah (BN - MIC),"29.5% (6,800)",N11,IJOK (P96),state
32,Jefri Mejan (PAS),"17.1% (3,942)",N11,IJOK (P96),state
33,Kumaran Tamil Dassen (PRM),0.3% (76),N11,IJOK (P96),state
34,Mohd Shaid Rosli (PH - PKR),"35.9% (7,087)",N12,JERAM (P96),state
35,Zahar Azlan Arifin (BN - UMNO),"29.9% (5,896)",N12,JERAM (P96),state
36,Mohd Noor Mohd Shahar (PAS),"21.9% (4,326)",N12,JERAM (P96),state
37,Sallehudin Amiruddin (PH - PPBM),"37.2% (9,845)",N13,KUANG (P97),state
38,Abdul Shukur Idrus (BN - UMNO),"26.4% (6,985)",N13,KUANG (P97),state
39,Mohd Fauzan Madzlan (PAS),"21.4% (5,672)",N13,KUANG (P97),state
40,Mohd Rafie Mohammad Arif (PRM),0.2% (44),N13,KUANG (P97),state
41,Chua Wei Kiat (PH - PKR),"64.9% (29,946)",N14,RAWANG (P97),state
42,Chan Wun Hoong (BN - MCA),"13.2% (6,086)",N14,RAWANG (P97),state
43,Kong Tuck Wah (PAS),"4.9% (2,259)",N14,RAWANG (P97),state
44,Azman Mohd Noor (IND),1.4% (644),N14,RAWANG (P97),state
45,Mohd Sany Hamzan (PH - AMANAH),"42.1% (18,362)",N15,TAMAN TEMPLER (P97),state
46,Zaidy Abdul Talib (PAS),"24.0% (10,459)",N15,TAMAN TEMPLER (P97),state
47,Md Nasir Ibrahim (BN - UMNO),"17.4% (7,580)",N15,TAMAN TEMPLER (P97),state
48,Rajandran Batumalai (PAP),0.2% (108),N15,TAMAN TEMPLER (P97),state
49,Koh Swe Yong (PRM),0.2% (82),N15,TAMAN TEMPLER (P97),state
50,Amirudin Shari (PH - PKR),"51.0% (17,446)",N16,SUNGAI TUA (P98),state
51,Rawisandran Narayanan (BN - MIC),"17.8% (6,072)",N16,SUNGAI TUA (P98),state
52,Mohammad Ibrahim (PAS),"13.3% (4,530)",N16,SUNGAI TUA (P98),state
53,Badrul Hisam Md Zin (IND),0.8% (268),N16,SUNGAI TUA (P98),state
54,Muhammad Hilman Idham (PH - PKR),"43.6% (24,157)",N17,GOMBAK SETIA (P98),state
55,Hasbullah Mohd Ridzwan (PAS),"21.2% (11,758)",N17,GOMBAK SETIA (P98),state
56,Megat Zulkarnain Omardin (BN - UMNO),"20.0% (11,113)",N17,GOMBAK SETIA (P98),state
57,Saari Sungib (PH - AMANAH),"50.0% (25,746)",N18,HULU KELANG (P98),state
58,Ismail Ahmad (BN - UMNO),"20.2% (10,397)",N18,HULU KELANG (P98),state
59,Kamalulhysham Mohd Suhut (PAS),"14.7% (7,573)",N18,HULU KELANG (P98),state
60,Mohamed Azmin Ali (PH - PKR),"66.4% (30,892)",N19,BUKIT ANTARABANGSA (P99),state
