,name,number_of_voters,panel_code,panel_name,tab
0,Aznel Ibrahim (BN - UMNO),"37.2% (5,716)",N1,PENGKALAN HULU (P54),state
1,Mohamad Hamidi Ismail (PAS),"21.7% (3,341)",N1,PENGKALAN HULU (P54),state
2,Ahmad Safwan Mohamad (PH - PPBM),"17.6% (2,711)",N1,PENGKALAN HULU (P54),state
3,Salbiah Mohamed (BN - UMNO),"38.1% (7,823)",N2,TEMENGOR (P54),state
4,Md Pozi Md Sani (PAS),"18.9% (3,888)",N2,TEMENGOR (P54),state
5,Mohd Fadzil Abdul Aziz (PH - PPBM),"18.5% (3,806)",N2,TEMENGOR (P54),state
6,Mohd Tarmizi Idris (BN - UMNO),"43.5% (7,379)",N3,KENERING (P55),state
7,Azhar Rasdi (PAS),"24.2% (4,111)",N3,KENERING (P55),state
8,Noor Sham Abu Samah (PH - PKR),"10.8% (1,832)",N3,KENERING (P55),state
9,Saarani Mohamad (BN - UMNO),"40.5% (5,183)",N4,KOTA TAMPAN (P55),state
10,Muhammad Rif'aat Razman (PAS),"22.5% (2,881)",N4,KOTA TAMPAN (P55),state
11,Noor Hasnida Mohd Hashim (PH - PPBM),"14.3% (1,834)",N4,KOTA TAMPAN (P55),state
12,Mohd Akmal Kamarudin (PAS),"33.5% (5,516)",N5,SELAMA (P56),state
13,Faizul Arby Mohd Shohor (BN - UMNO),"31.7% (5,227)",N5,SELAMA (P56),state
14,Razali Ismail (PH - AMANAH),"15.9% (2,618)",N5,SELAMA (P56),state
15,Khalil Yahaya (PAS),"34.8% (5,786)",N6,KUBU GAJAH (P56),state
16,Saliza Ahmad (BN - UMNO),"33.7% (5,606)",N6,KUBU GAJAH (P56),state
17,Mat Supri Musa (PH - PPBM),"10.1% (1,671)",N6,KUBU GAJAH (P56),state
18,Muhammad Amin Zakaria (BN - UMNO),"37.7% (6,168)",N7,BATU KURAU (P56),state
19,Mohd Shahir Mohd Hassan (PAS),"23.6% (3,860)",N7,BATU KURAU (P56),state
20,Muhamad Aiman Aizuddin Md Husin (PH - PKR),"18.7% (3,051)",N7,BATU KURAU (P56),state
21,Zainal Abidin Abd Rahman (BERJASA),0.3% (42),N7,BATU KURAU (P56),state
22,Hasnul Zulkarnain Abd Munaim (PH - AMANAH),"28.4% (7,600)",N8,TITI SERONG (P57),state
23,Norsalewati Mat Norwani (BN - UMNO),"27.9% (7,460)",N8,TITI SERONG (P57),state
24,Abu Bakar Hussian (PAS),"26.2% (6,993)",N8,TITI SERONG (P57),state
25,Abdul Yunus Jamahri (PH - PKR),"34.4% (8,655)",N9,KUALA KURAU (P57),state
26,Shahrul Nizam Razali (BN - UMNO),"23.9% (6,012)",N9,KUALA KURAU (P57),state
27,Abdul Baharin Mat Desa (PAS),"23.9% (5,997)",N9,KUALA KURAU (P57),state
28,Sham Mat Sahat (BN - UMNO),"31.4% (6,556)",N10,ALOR PONGSU (P58),state
29,Wan Ahmad Tarmizi Abdul Aziz (PAS),"25.8% (5,394)",N10,ALOR PONGSU (P58),state
30,Ahmad Zaki Husin (PH - PKR),"22.0% (4,595)",N10,ALOR PONGSU (P58),state
31,Razman Zakaria (PAS),"36.3% (7,444)",N11,GUNONG SEMANGGOL (P58),state
32,Zaini Cha (BN - UMNO),"27.0% (5,541)",N11,GUNONG SEMANGGOL (P58),state
33,Ismail Ali (PH - PPBM),"17.2% (3,520)",N11,GUNONG SEMANGGOL (P58),state
34,Mohamad Noor Dawoo (BN - UMNO),"28.9% (5,167)",N12,SELINSING (P58),state
35,Husin Din (PAS),"28.4% (5,070)",N12,SELINSING (P58),state
36,Ahmad Saqif Ansorullah Ahmad Jihbadz Mokhlis (PH - AMANAH),"22.5% (4,016)",N12,SELINSING (P58),state
37,Mohd Kamaruddin Abu Bakar (BN - UMNO),"30.7% (8,993)",N13,KUALA SEPETANG (P59),state
38,Chua Yee Ling (PH - PKR),"29.6% (8,664)",N13,KUALA SEPETANG (P59),state
39,Rahim Ismail (PAS),"21.5% (6,296)",N13,KUALA SEPETANG (P59),state
40,Ahmad Saidi Mohamad Daud (BN - UMNO),"32.8% (8,818)",N14,CHANGKAT JERING (P59),state
41,Megat Shariffudin Ibrahim (PH - AMANAH),"25.7% (6,896)",N14,CHANGKAT JERING (P59),state
42,Mohammad Nordin Jaafar (PAS),"23.1% (6,199)",N14,CHANGKAT JERING (P59),state
43,Mohganan Manikam (IND),0.2% (60),N14,CHANGKAT JERING (P59),state
44,Jamilah Zakaria (BN - UMNO),"37.4% (5,139)",N15,TRONG (P59),state
45,Muhammad Faisal Abdul Rahman (PAS),"23.6% (3,241)",N15,TRONG (P59),state
46,Shaharuddin Abdul Rashid (PH - PPBM),"18.5% (2,546)",N15,TRONG (P59),state
47,Muhd Fadhil Nuruddin (PH - AMANAH),"33.0% (9,898)",N16,KAMUNTING (P60),state
48,Mohammad Zahir Abdul Khalid (BN - UMNO),"27.1% (8,118)",N16,KAMUNTING (P60),state
49,Mohamad Fakhrudin Abdul Aziz (PAS),"17.6% (5,276)",N16,KAMUNTING (P60),state
50,Leow Thye Yih (PH - DAP),"59.3% (16,954)",N17,POKOK ASSAM (P60),state
51,Lee Li Kuan (BN - MCA),"17.2% (4,922)",N17,POKOK ASSAM (P60),state
52,Nga Kor Ming (PH - DAP),"56.4% (18,123)",N18,AULONG (P60),state
53,Soo Kay Ping (BN - GERAKAN),"18.9% (6,059)",N18,AULONG (P60),state
54,Zainun Mat Noor (BN - UMNO),"38.5% (5,546)",N19,CHENDEROH (P61),state
55,Khairul Anuar Musa (PH - PKR),"22.0% (3,176)",N19,CHENDEROH (P61),state
56,Mohammad Farid Faizi Azizan (PAS),"20.4% (2,944)",N19,CHENDEROH (P61),state
57,Jurij Jalaludin (BN - UMNO),"29.6% (4,908)",N20,LUBOK MERBAU (P61),state
58,Azizi Mohamed Ridzuwan (PAS),"27.1% (4,499)",N20,LUBOK MERBAU (P61),state
59,Zulkarnine Hashim (PH - PPBM),"25.2% (4,179)",N20,LUBOK MERBAU (P61),state
60,Mohd Zolkafly Harun (BN - UMNO),"41.8% (10,605)",N21,LINTANG (P62),state
61,Madhi Hasan (PH - PKR),"23.7% (6,023)",N21,LINTANG (P62),state
62,Isran Fahmi Ismail (PAS),"13.6% (3,460)",N21,LINTANG (P62),state
63,Loh Sze Yee (PH - DAP),"54.5% (16,138)",N22,JALONG (P62),state
64,Tan Lian Hoe (BN - GERAKAN),"22.1% (6,536)",N22,JALONG (P62),state
65,Asmuni Awi (PH - AMANAH),"34.7% (20,052)",N23,MANJOI (P63),state
66,Mohamad Ziad Mohamed Zainal Abidin (BN - UMNO),"28.6% (16,520)",N23,MANJOI (P63),state
67,Mohd Hafez Sabri (PAS),"18.7% (10,830)",N23,MANJOI (P63),state
68,Muhamad Arafat Varisai Mahamad (PH - PKR),"35.6% (17,766)",N24,HULU KINTA (P63),state
69,Aminuddin Md Hanafiah (BN - UMNO),"28.1% (14,053)",N24,HULU KINTA (P63),state
70,Mat Salleh Said (PAS),"14.9% (7,425)",N24,HULU KINTA (P63),state
71,Murugiah Subramaniam (IND),0.4% (217),N24,HULU KINTA (P63),state
72,Jenny Choy Tsi Jen (PH - DAP),"66.0% (21,268)",N25,CANNING (P64),state
73,Liew Kar Tuan (BN - GERAKAN),"9.2% (2,976)",N25,CANNING (P64),state
74,Abdul Aziz Bari (PH - DAP),"39.7% (10,334)",N26,TEBING TINGGI (P64),state
75,Khoo Boon Chuan (BN - MCA),"24.6% (6,407)",N26,TEBING TINGGI (P64),state
76,Mazlan Md Isa (PAS),"15.1% (3,931)",N26,TEBING TINGGI (P64),state
77,Lee Chuan How (PH - DAP),"70.1% (23,282)",N27,PASIR PINJI (P64),state
78,Ng Kai Cheong (BN - MCA),"7.3% (2,426)",N27,PASIR PINJI (P64),state
79,Ong Boon Piow (PH - DAP),"68.2% (24,647)",N28,BERCHAM (P65),state
80,Low Guo Nan (BN - MCA),"10.9% (3,938)",N28,BERCHAM (P65),state
81,Ko Chung Sen (PH - DAP),"59.5% (12,417)",N29,KEPAYANG (P65),state
82,Chang Kok Aun (BN - MCA),"14.0% (2,922)",N29,KEPAYANG (P65),state
83,Sivasubramaniam Athinarayanan (PH - DAP),"64.5% (18,005)",N30,BUNTONG (P65),state
84,Thangarani Thiagarajan (BN - MIC),"9.6% (2,682)",N30,BUNTONG (P65),state
85,Mohanarani Rasiah (PSM),2.9% (813),N30,BUNTONG (P65),state
86,Cheah Pou Hian (PH - DAP),"68.5% (16,940)",N31,JELAPANG (P66),state
87,Thankaraj Krishnan (BN - MIC),"7.1% (1,753)",N31,JELAPANG (P66),state
88,Sarasvathy Muthu (PSM),3.8% (944),N31,JELAPANG (P66),state
89,Chaw Kam Foon (PH - DAP),"68.8% (20,456)",N32,MENGLEMBU (P66),state
90,Wong Kam Seng (BN - MCA),"8.4% (2,508)",N32,MENGLEMBU (P66),state
91,Chin Kwai Leong (PSM),0.8% (248),N32,MENGLEMBU (P66),state
92,Yong Choo Kiong (PH - DAP),"55.9% (15,061)",N33,TRONOH (P66),state
93,Yuen Chan How (BN - MCA),"16.9% (4,560)",N33,TRONOH (P66),state
94,Chin Kwai Heng (PSM),1.2% (333),N33,TRONOH (P66),state
95,Maslin Sham Razman (BN - UMNO),"34.2% (5,929)",N34,BUKIT CHANDAN (P67),state
96,Mohamad Imran Abd Hamid (PH - PKR),"31.6% (5,465)",N34,BUKIT CHANDAN (P67),state
97,Intan Norhani Mohamad Basir (PAS),"15.8% (2,743)",N34,BUKIT CHANDAN (P67),state
98,Mohamad Zuraimi Razali (BN - UMNO),"31.9% (6,267)",N35,MANONG (P67),state
99,Mohamad Isa Jaafar (PH - PPBM),"29.0% (5,696)",N35,MANONG (P67),state
100,Jamil Dzulkarnain (PAS),"20.4% (4,004)",N35,MANONG (P67),state
101,Abd Manaf Hashim (BN - UMNO),"34.9% (6,312)",N36,PENGKALAN BAHARU (P68),state
102,Murad Abdullah (PH - PPBM),"25.9% (4,688)",N36,PENGKALAN BAHARU (P68),state
103,Zakaria Hashim (PAS),"15.4% (2,781)",N36,PENGKALAN BAHARU (P68),state
104,Wong May Ing (PH - DAP),"57.5% (18,608)",N37,PANTAI REMIS (P68),state
105,Ho Kean Wei (BN - MCA),"16.4% (5,292)",N37,PANTAI REMIS (P68),state
106,Teoh Yee Chern (PH - DAP),"64.1% (18,814)",N38,ASTAKA (P68),state
107,Teng Keek Soong (BN - MCA),"12.4% (3,638)",N38,ASTAKA (P68),state
108,Khairudin Abu Hanipah (BN - UMNO),"39.3% (5,879)",N39,BELANJA (P69),state
109,Mohd Zahid Abu Bakar (PAS),"21.1% (3,150)",N39,BELANJA (P69),state
110,Yahanis Yahya (PH - PPBM),"19.2% (2,871)",N39,BELANJA (P69),state
111,Khairul Shahril Mohamed (BN - UMNO),"35.4% (7,411)",N40,BOTA (P69),state
112,Muhammad Ismi Mat Taib (PAS),"26.7% (5,589)",N40,BOTA (P69),state
113,Azrul Hakkim Azhar (PH - PPBM),"19.4% (4,070)",N40,BOTA (P69),state
114,Leong Cheok Keng (PH - DAP),"49.2% (11,271)",N41,MALIM NAWAR (P70),state
115,Chang Gwo Chyang (BN - MCA),"22.6% (5,189)",N41,MALIM NAWAR (P70),state
116,Bawani Kaniapan (PSM),0.9% (213),N41,MALIM NAWAR (P70),state
117,Chong Zhemin (PH - DAP),"55.9% (12,072)",N42,KERANJI (P70),state
118,Daniel Wa Wai How (BN - MCA),"18.7% (4,031)",N42,KERANJI (P70),state
119,Nolee Ashilin Mohammed Radzi (BN - UMNO),"35.2% (8,767)",N43,TUALANG SEKAH (P70),state
120,Mohd Azlan Helmi Helmi (PH - PKR),"30.8% (7,668)",N43,TUALANG SEKAH (P70),state
121,Mohd Sofian Rejab (PAS),"12.7% (3,162)",N43,TUALANG SEKAH (P70),state
122,Mohammad Nizar Jamaluddin (PH - AMANAH),"39.0% (12,425)",N44,SUNGAI RAPAT (P71),state
123,Hamzah Mohd Kasim (BN - UMNO),"27.6% (8,811)",N44,SUNGAI RAPAT (P71),state
124,Radzi Zainon (PAS),"14.5% (4,627)",N44,SUNGAI RAPAT (P71),state
125,Tan Kar Hing (PH - PKR),"59.6% (25,659)",N45,SIMPANG PULAI (P71),state
