,name,number_of_voters,panel_code,panel_name,tab
78,Mohamed Arifin Awang Ismail (BN - UMNO),"35.7% (5,502)",N26,CHENOR (P86),state
79,Zuliana Mohamed (PH - PPBM),"6.7% (1,035)",N26,CHENOR (P86),state
80,Mohamed Jaafar (BN - UMNO),"39.9% (4,213)",N27,JENDERAK (P87),state
81,Abdullah Yusoh (PAS),"23.7% (2,500)",N27,JENDERAK (P87),state
82,Faizah Baharom (PH - PPBM),"15.3% (1,622)",N27,JENDERAK (P87),state
83,Syed Ibrahim Syed Ahmad (BN - UMNO),"43.9% (5,255)",N28,KERDAU (P87),state
84,Aireroshairi Roslan (PAS),"27.7% (3,321)",N28,KERDAU (P87),state
85,Adnan Abdul Manaf (PH - AMANAH),"10.8% (1,298)",N28,KERDAU (P87),state
86,Shahril Azman Abd Halim (PAS),"40.9% (10,111)",N29,JENGKA (P87),state
87,Wan Salman Wan Ismail (BN - UMNO),"33.6% (8,298)",N29,JENGKA (P87),state
88,Jalani Ludin (PH - AMANAH),"7.0% (1,722)",N29,JENGKA (P87),state
89,Woo Chee Wan (PH - DAP),"41.5% (10,547)",N30,MENTAKAB (P88),state
90,Abirerah Awang Chik (PAS),"18.6% (4,718)",N30,MENTAKAB (P88),state
91,Wong Tat Chee @ Wong Tai Chee (BN - MCA),"17.9% (4,548)",N30,MENTAKAB (P88),state
92,Chuah Boon Seong (IND),3.8% (956),N30,MENTAKAB (P88),state
93,Mohd Sharkar Shamsudin (BN - UMNO),"37.2% (8,824)",N31,LANCHANG (P88),state
94,Abas Awang (PH - PKR),"21.5% (5,099)",N31,LANCHANG (P88),state
95,Hasan Omar (PAS),"20.4% (4,836)",N31,LANCHANG (P88),state
96,Mohd Khaidir Ahmad (IND),0.3% (80),N31,LANCHANG (P88),state
97,Nor Azmi Mat Ludin (BN - UMNO),"30.4% (7,880)",N32,KUALA SEMANTAN (P88),state
98,Hassanuddin Salim (PAS),"28.5% (7,406)",N32,KUALA SEMANTAN (P88),state
99,Syed Hamid Syed Mohamed (PH - AMANAH),"23.5% (6,095)",N32,KUALA SEMANTAN (P88),state
100,Lee Chin Chen (PH - DAP),"46.1% (8,798)",N33,BILUT (P89),state
101,Poo Mun Hoong (BN - MCA),"26.5% (5,059)",N33,BILUT (P89),state
102,Mohd Zamri Nong (PAS),"10.2% (1,944)",N33,BILUT (P89),state
103,Young Syefura Othman (PH - DAP),"42.0% (9,873)",N34,KETARI (P89),state
104,Lau Hoi Keong (BN - GERAKAN),"26.2% (6,163)",N34,KETARI (P89),state
105,Roslan Md Esa (PAS),"13.9% (3,260)",N34,KETARI (P89),state
106,Kamache Doray Rajoo (PH - DAP),"36.5% (4,374)",N35,SABAI (P89),state
107,Goonasakaren Raman (BN - MIC),"32.4% (3,879)",N35,SABAI (P89),state
108,Mohd Khairuddin Abdullah (PAS),"10.9% (1,308)",N35,SABAI (P89),state
109,Karunaneethi Thangavel (IND),1.2% (145),N35,SABAI (P89),state
110,Adnan Yaakob (BN - UMNO),"42.3% (5,410)",N36,PELANGAI (P89),state
111,Nor Haizan Abu Hassan (PH - AMANAH),"24.2% (3,098)",N36,PELANGAI (P89),state
112,Zaharim Osman (PAS),"14.2% (1,817)",N36,PELANGAI (P89),state
113,Norolazali Sulaiman (BN - UMNO),"42.1% (8,147)",N37,GUAI (P90),state
114,Mohd Shahrul Mohamed (PAS),"25.1% (4,852)",N37,GUAI (P90),state
115,Ahmad Majdil Fauzi Abd Aziz (PH - AMANAH),"13.2% (2,547)",N37,GUAI (P90),state
116,Leong Yu Man (PH - DAP),"55.9% (11,222)",N38,TRIANG (P90),state
117,Tan Tin Loon (BN - GERAKAN),"23.7% (4,768)",N38,TRIANG (P90),state
118,Mohd Fadil Osman (BN - UMNO),"43.7% (8,430)",N39,KEMAYAN (P90),state
119,Manolan Mohamad (PH - PKR),"19.8% (3,812)",N39,KEMAYAN (P90),state
120,Md Yusof Che Din (PAS),"16.9% (3,265)",N39,KEMAYAN (P90),state
121,Samsiah Arshad (BN - UMNO),"41.4% (9,448)",N40,BUKIT IBAM (P91),state
122,Nazri Ahmad (PAS),"30.6% (6,970)",N40,BUKIT IBAM (P91),state
123,Zulkurnain Mohamad Ridzuan (PH - PPBM),"9.3% (2,126)",N40,BUKIT IBAM (P91),state
124,Razali Kassim (BN - UMNO),"44.9% (9,081)",N41,MUADZAM SHAH (P91),state
125,Ramli Awang Ahmat (PAS),"21.0% (4,241)",N41,MUADZAM SHAH (P91),state
126,Osman A Bakar (PH - PPBM),"13.8% (2,781)",N41,MUADZAM SHAH (P91),state
127,Mohd Johari Hussain (BN - UMNO),"35.2% (6,662)",N42,TIOMAN (P91),state
128,Md Yunus Ramli (PAS),"28.5% (5,382)",N42,TIOMAN (P91),state
129,Ahmad Sazili Mohd Nor (PH - AMANAH),"16.0% (3,029)",N42,TIOMAN (P91),state
130,Mohd Zolfakar Taib (IND),0.3% (58),N42,TIOMAN (P91),state
