,name,number_of_voters,panel_code,panel_name,tab
92,A. Rahman A. Hamid (PAS),"12.4% (3,543)",N33,TENGGAROH (P154),state
93,Hahasrin Hashim (BN - UMNO),"44.3% (11,409)",N34,PANTI (P155),state
94,Jawahir Husein (PH - PPBM),"31.0% (7,985)",N34,PANTI (P155),state
95,Mohd Nazari Mokhtar (PAS),"8.0% (2,071)",N34,PANTI (P155),state
96,Rashidah Ismail (BN - UMNO),"42.4% (8,055)",N35,PASIR RAJA (P155),state
97,Mohd Abrary Ramly (PH - AMANAH),"32.7% (6,208)",N35,PASIR RAJA (P155),state
98,Bahrin Alias @ Mingan (PAS),"7.1% (1,351)",N35,PASIR RAJA (P155),state
99,Rasman Ithnain (BN - UMNO),"62.5% (13,407)",N36,SEDILI (P156),state
100,Abd Razak Esa (PH - PKR),"19.8% (4,239)",N36,SEDILI (P156),state
101,Rosleli Jahari (BN - UMNO),"49.7% (12,532)",N37,JOHOR LAMA (P156),state
102,Nor Ashidah Ibrahim (PH - PKR),"26.7% (6,725)",N37,JOHOR LAMA (P156),state
103,Siti Zaharah Othman (PAS),"5.7% (1,433)",N37,JOHOR LAMA (P156),state
104,Sharifah Azizah Syed Zain (BN - UMNO),"57.4% (12,330)",N38,PENAWAR (P157),state
105,Ahmad Kamah Nor (PH - AMANAH),"24.2% (5,196)",N38,PENAWAR (P157),state
106,Syed Sis A Rahman (BN - UMNO),"50.6% (9,614)",N39,TANJUNG SURAT (P157),state
107,Zamil Najwah Arbain (PH - PKR),"26.8% (5,092)",N39,TANJUNG SURAT (P157),state
108,Gopalakrishnan Subramaniam (PH - PKR),"43.8% (26,573)",N40,TIRAM (P158),state
109,Maulizan Bujang (BN - UMNO),"30.4% (18,475)",N40,TIRAM (P158),state
110,Azman Atmin (PAS),"8.8% (5,366)",N40,TIRAM (P158),state
111,Mazlan Bujang (PH - PPBM),"60.2% (37,545)",N41,PUTERI WANGSA (P158),state
112,Abd Aziz Tohak (BN - UMNO),"20.2% (12,586)",N41,PUTERI WANGSA (P158),state
113,Abdullah Husin (PAS),"4.3% (2,654)",N41,PUTERI WANGSA (P158),state
114,Lim Yak Hong (IND),0.9% (544),N41,PUTERI WANGSA (P158),state
115,Ting Choon Chai (IND),0.2% (116),N41,PUTERI WANGSA (P158),state
116,Liow Cai Tung (PH - DAP),"53.0% (32,342)",N42,JOHOR JAYA (P159),state
117,Tan Cher Puk (BN - MCA),"27.5% (16,777)",N42,JOHOR JAYA (P159),state
118,Kumutha Rahman (PAS),"4.3% (2,605)",N42,JOHOR JAYA (P159),state
119,Che Zakaria Mohd Salleh (PH - PPBM),"45.6% (28,793)",N43,PERMAS (P159),state
120,Mohamed Khaled Nordin (BN - UMNO),"31.8% (20,047)",N43,PERMAS (P159),state
121,Ab Aziz Abdullah (PAS),"6.6% (4,181)",N43,PERMAS (P159),state
122,Rohani Yaacob (IND),0.2% (113),N43,PERMAS (P159),state
123,Mohd Izhar Ahmad (PH - PPBM),"44.8% (25,012)",N44,LARKIN (P160),state
124,Yahya Ja'afar (BN - UMNO),"29.4% (16,422)",N44,LARKIN (P160),state
125,Zakiah Tukirin (PAS),"5.8% (3,233)",N44,LARKIN (P160),state
126,Chen Kah Eng (PH - DAP),"52.7% (24,002)",N45,STULANG (P160),state
127,Ang Boon Heng (BN - MCA),"25.3% (11,532)",N45,STULANG (P160),state
128,Cheo Yee How (PH - DAP),"51.8% (32,592)",N46,PERLING (P161),state
129,Wong You Fong (BN - MCA),"20.8% (13,059)",N46,PERLING (P161),state
130,Muhamad Nazrin Ihsan (PAS),"9.4% (5,890)",N46,PERLING (P161),state
131,Osman Sapian (PH - PPBM),"48.7% (21,137)",N47,KEMPAS (P161),state
132,Ramlee Bohani (BN - UMNO),"27.6% (11,959)",N47,KEMPAS (P161),state
133,Dzulkifli Suleiman (PAS),"5.4% (2,321)",N47,KEMPAS (P161),state
134,Tan Hong Pin (PH - DAP),"66.8% (47,359)",N48,SKUDAI (P162),state
135,S Kanan G Suppiah (BN - MIC),"17.2% (12,233)",N48,SKUDAI (P162),state
136,Dzulkefly Ahmad (PH - AMANAH),"49.7% (33,455)",N49,KOTA ISKANDAR (P162),state
137,Mohammad Khairi Abdul A. Malik (BN - UMNO),"28.1% (18,912)",N49,KOTA ISKANDAR (P162),state
138,Salleh Uhden @ Sallehuddin Mohd Dahiran (PAS),"7.4% (4,966)",N49,KOTA ISKANDAR (P162),state
139,Tosrin Jaruanthi (PH - PPBM),"45.3% (10,998)",N50,BUKIT PERMAI (P163),state
