,name,number_of_voters,panel_code,panel_name,tab
0,Mohd Yusni Mat Piah (PAS),"44.7% (8,530)",N1,PENAGA (P41),state
1,Mohd Zain Ahmad (BN - UMNO),"38.8% (7,398)",N1,PENAGA (P41),state
2,Khaliq Mehtab Mohd Ishaq (PH - PPBM),"35.3% (6,485)",N2,BERTAM (P41),state
3,Shariful Azhar Othman (BN - UMNO),"34.1% (6,268)",N2,BERTAM (P41),state
4,Mokhtar Ramly (PAS),"16.2% (2,986)",N2,BERTAM (P41),state
5,Ahmad Zaki Yuddin Ahmad Rahman (PH - PKR),"33.6% (7,754)",N3,PINANG TUNGGAL (P41),state
6,Roslan Saidin (BN - UMNO),"33.1% (7,627)",N3,PINANG TUNGGAL (P41),state
7,Bukhori Ghazali (PAS),"20.0% (4,622)",N3,PINANG TUNGGAL (P41),state
8,Nor Hafizah Othman (BN - UMNO),"32.5% (6,870)",N4,PERMATANG BERANGAN (P42),state
9,Mohd Sobri Saleh (PAS),"29.5% (6,224)",N4,PERMATANG BERANGAN (P42),state
10,Mohd Shariff Omar (PH - PPBM),"23.8% (5,021)",N4,PERMATANG BERANGAN (P42),state
11,Azman Shah Othman (PRM),0.1% (24),N4,PERMATANG BERANGAN (P42),state
12,Muhamad Yusoff Mohd Noor (BN - UMNO),"35.6% (7,314)",N5,SUNGAI DUA (P42),state
13,Zahadi Mohd (PAS),"26.2% (5,380)",N5,SUNGAI DUA (P42),state
14,Yusri Ishak (PH - AMANAH),"24.9% (5,115)",N5,SUNGAI DUA (P42),state
15,Mustafa Kamal Ahmad (PH - PKR),"36.9% (7,072)",N6,TELOK AYER TAWAR (P42),state
16,Zamri Che Ros (BN - UMNO),"25.4% (4,869)",N6,TELOK AYER TAWAR (P42),state
17,Mohamad Hanif Haron (PAS),"20.3% (3,900)",N6,TELOK AYER TAWAR (P42),state
18,Lee Thian Hong (PRM),0.5% (88),N6,TELOK AYER TAWAR (P42),state
19,Phee Boon Poh (PH - DAP),"78.4% (21,705)",N7,SUNGAI PUYU (P43),state
20,Lim Hai Song (BN - MCA),"7.7% (2,136)",N7,SUNGAI PUYU (P43),state
21,Tan Lay Hock (PRM),0.4% (101),N7,SUNGAI PUYU (P43),state
22,Neoh Bok Keng (MUP),0.3% (79),N7,SUNGAI PUYU (P43),state
23,Ong Yin Yin (PFP),0.2% (51),N7,SUNGAI PUYU (P43),state
24,Soon Lip Chee (PH - DAP),"70.8% (18,134)",N8,BAGAN JERMAL (P43),state
25,Ang Chor Keong (BN - MCA),"11.3% (2,898)",N8,BAGAN JERMAL (P43),state
26,Hari Devyndran Muniswaran (MUP),0.4% (106),N8,BAGAN JERMAL (P43),state
27,Teoh Chai Deng (PRM),0.3% (74),N8,BAGAN JERMAL (P43),state
28,Fabian George Albart (PFP),0.1% (30),N8,BAGAN JERMAL (P43),state
29,Satees Muniandy (PH - DAP),"58.5% (10,701)",N9,BAGAN DALAM (P43),state
30,Dhinagaran Jayabalan (BN - MIC),"21.4% (3,918)",N9,BAGAN DALAM (P43),state
31,Teoh Uat Lye (MUP),0.3% (51),N9,BAGAN DALAM (P43),state
32,Teoh Huck Ping (PRM),0.2% (45),N9,BAGAN DALAM (P43),state
33,Jasper Ooi Zong Han (PFP),0.2% (36),N9,BAGAN DALAM (P43),state
34,Afif Bahardin (PH - PKR),"45.1% (16,014)",N10,SEBERANG JAYA (P44),state
35,Abu Bakar Sidekh Zainul Abidin (BN - UMNO),"24.2% (8,593)",N10,SEBERANG JAYA (P44),state
36,Ahmad Rafaei Rashid (PAS),"15.6% (5,540)",N10,SEBERANG JAYA (P44),state
37,Muhammad Faiz Fadzil (PH - AMANAH),"39.1% (9,708)",N11,PERMATANG PASIR (P44),state
38,Muhammad Fauzi Yusoff (PAS),"27.1% (6,727)",N11,PERMATANG PASIR (P44),state
39,Anuar Faisal Yahaya (BN - UMNO),"20.1% (4,979)",N11,PERMATANG PASIR (P44),state
40,Norlela Ariffin (PH - PKR),"38.3% (8,221)",N12,PENANTI (P44),state
41,Suhaimi Sabudin (BN - UMNO),"24.6% (5,277)",N12,PENANTI (P44),state
42,Muhammad Fawwaz Mohamad Jan (PAS),"22.3% (4,791)",N12,PENANTI (P44),state
43,Heng Lee Lee (PH - DAP),"77.3% (18,378)",N13,BERAPIT (P45),state
44,Goh Swee Gim (BN - MCA),"5.9% (1,397)",N13,BERAPIT (P45),state
45,Lee Poh Kong (PFP),0.4% (105),N13,BERAPIT (P45),state
46,Song Chee Meng (PRM),0.4% (84),N13,BERAPIT (P45),state
47,Lee Khai Loon (PH - PKR),"58.6% (21,819)",N14,MACHANG BUBUK (P45),state
48,Md Jamil Abd Rahman (PAS),"13.6% (5,072)",N14,MACHANG BUBUK (P45),state
49,Tan Teik Cheng (BN - MCA),"12.5% (4,658)",N14,MACHANG BUBUK (P45),state
50,Tang Ah Ba (PRM),0.1% (53),N14,MACHANG BUBUK (P45),state
51,Lim Jhun Hou (MUP),0.1% (28),N14,MACHANG BUBUK (P45),state
52,Chong Eng (PH - DAP),"74.3% (20,764)",N15,PADANG LALANG (P45),state
53,Kuan Hin Yeep (BN - MCA),"8.6% (2,400)",N15,PADANG LALANG (P45),state
54,Lai Yean Nee (PRM),0.6% (154),N15,PADANG LALANG (P45),state
55,Liew Ee Jin (PFP),0.4% (101),N15,PADANG LALANG (P45),state
56,Ramasamy Palanisamy (PH - DAP),"66.0% (11,243)",N16,PERAI (P46),state
57,Suresh Muniandy (BN - MIC),"12.9% (2,194)",N16,PERAI (P46),state
58,Ooi Khar Giap (PFP),0.6% (104),N16,PERAI (P46),state
59,Samuganathan Muniandy (PRM),0.2% (37),N16,PERAI (P46),state
60,Asoghan Govindaraju (PAP),0.2% (33),N16,PERAI (P46),state
61,Kumary Retnam (IND),0.1% (23),N16,PERAI (P46),state
62,Gooi Hsiao-Leung (PH - PKR),"56.3% (12,535)",N17,BUKIT TENGAH (P46),state
63,Thor Teong Gee (BN - GERAKAN),"17.9% (3,977)",N17,BUKIT TENGAH (P46),state
64,Norazman Ishak (PAS),"10.6% (2,355)",N17,BUKIT TENGAH (P46),state
65,Tan Hiang Lye (PRM),0.2% (53),N17,BUKIT TENGAH (P46),state
66,Edward Joseph (PFP),0.1% (27),N17,BUKIT TENGAH (P46),state
67,Goh Choon Aik (PH - PKR),"69.2% (18,064)",N18,BUKIT TAMBUN (P46),state
68,Hartini Tan Abdullah (BN - GERAKAN),"12.2% (3,184)",N18,BUKIT TAMBUN (P46),state
69,Kumaravelu Arumugam (PAS),2.8% (735),N18,BUKIT TAMBUN (P46),state
70,Goh Bee Koon (PRM),0.4% (117),N18,BUKIT TAMBUN (P46),state
71,Ong Seong Lu (PFP),0.2% (54),N18,BUKIT TAMBUN (P46),state
72,H'ng Mooi Lye (PH - DAP),"65.8% (17,559)",N19,JAWI (P47),state
73,Kiew Hen Chong (BN - GERAKAN),"15.7% (4,188)",N19,JAWI (P47),state
74,Tan Beng Huat (PAP),1.2% (309),N19,JAWI (P47),state
75,Koay Xing Boon (MUP),0.6% (165),N19,JAWI (P47),state
76,Daphne Edward (PFP),0.3% (73),N19,JAWI (P47),state
77,Tan Chew Suan (PRM),0.2% (51),N19,JAWI (P47),state
78,Amar Pritpal Abdullah (PH - PKR),"38.9% (10,386)",N20,SUNGAI BAKAP (P47),state
